provider,plz,weekly_parcels,n_stops,area_km2,hub_dist_km,b2c_share,parcels_per_stop,parcels_per_km2,break_even_penalty
DHL,30982,6551,239,66.6831619829418,2.77,0.8998626163944436,27.410041841004183,98.24069233063378,0.5
DHL,30989,6841,271,43.13135688268341,5.72,0.891974857476977,25.243542435424356,158.60850421672123,0.5
DHL,31275,18743,571,129.47251256919432,2.93,0.9003361254868484,32.824868651488615,144.76431814037076,0.25
DHL,31303,12605,468,112.90680951768702,1.84,0.8835382784609283,26.933760683760685,111.64074207610487,0.25
DHL,31311,8577,380,139.34872865781722,3.81,0.9001982045004081,22.571052631578947,61.55061537060421,0.4
DHL,31319,10967,411,101.18549289373648,0.58,0.904896507704933,26.683698296836983,108.38510231419619,0.3
DHL,31515,19286,537,125.18180774883541,5.28,0.8895053406616198,35.91433891992551,154.06391988439248,0.2
DHL,31535,18533,880,357.6158854957556,5.5,0.9029299088113095,21.06022727272727,51.82376049740654,0.3
DHL,31832,11902,515,159.38246951696127,4.65,0.88909426987061,23.110679611650486,74.67571581787674,0.4
Amazon,30159,9019,221,6.211813374113814,13.81,0.9778245925268877,40.80995475113122,1451.9109729832576,0.4
Amazon,30161,4512,83,1.7979843382791898,12.74,0.9729609929078015,54.36144578313253,2509.4768090796238,0.5
Amazon,30163,4469,93,2.603733329707664,12.41,0.9771761020362497,48.053763440860216,1716.3816082892638,0.5
Amazon,30165,3574,92,4.951012974183712,10.52,0.9837716843872412,38.84782608695652,721.872477134693,0.6
Amazon,30167,5730,139,5.368928981069905,10.65,0.9781849912739965,41.223021582733814,1067.2519640701491,0.4
Amazon,30173,3759,87,4.775461708125837,15.11,0.982708167065709,43.206896551724135,787.149019246402,0.6
Amazon,30177,2906,79,3.576189607493106,13.99,0.9807295251204404,36.78481012658228,812.5967353383967,0.75
Amazon,30179,2781,95,8.305970462175056,12.08,0.9956850053937433,29.273684210526316,334.8193943940115,0.75
Amazon,30419,6859,265,23.77191867081394,6.74,0.9937308645575157,25.883018867924527,288.53371471530244,0.3
Amazon,30449,5275,159,5.186686836161483,12.61,0.9753554502369668,33.17610062893082,1017.0268933961463,0.6
Amazon,30453,3593,139,9.157258958740023,9.82,0.985249095463401,25.848920863309353,392.36632011708144,0.75
Amazon,30455,3165,158,6.967819653017212,9.84,0.9958925750394945,20.031645569620252,454.2310446610782,1.0
Amazon,30457,3134,135,6.068989648841514,13.37,0.9907466496490108,23.214814814814815,516.3956739649799,1.0
Amazon,30459,3087,124,7.274391190340525,13.92,0.9944930353093618,24.89516129032258,424.3654100014785,0.75
Amazon,30519,5508,242,13.714884737746763,17.38,0.9894698620188817,22.760330578512395,401.60745827054734,0.6
Amazon,30539,3516,157,19.21423828970633,21.37,0.9926052332195677,22.394904458598727,182.9892992366828,0.5
Amazon,30559,5369,222,19.484913733542946,20.15,0.9960886571056062,24.184684684684683,275.54651118405303,0.6
Amazon,30625,3180,114,8.86389555258122,16.66,0.9927672955974842,27.894736842105264,358.7587400072607,0.75
Amazon,30627,2090,79,3.3903855235675273,17.89,0.9971291866028709,26.455696202531644,616.449069131466,1.0
Amazon,30629,2757,122,14.669809711755617,20.32,0.9974610083424011,22.598360655737704,187.9369981050732,1.0
Amazon,30655,3642,137,4.462508901721823,16.14,0.9914881933003844,26.583941605839417,816.1328257731349,0.4
Amazon,30657,3559,138,12.670949194485747,15.05,0.9859511098623209,25.78985507246377,280.878720715638,0.75
Amazon,30659,3002,130,11.3882150903338,18.11,0.9966688874083944,23.092307692307692,263.6058395619931,1.0
Amazon,30823,4370,222,12.528872220645557,1.29,0.9967963386727688,19.684684684684683,348.79436257630164,0.75
Amazon,30826,3852,233,56.38950461206911,3.98,1.0,16.532188841201716,68.31058415036247,1.0
Amazon,30827,3498,150,10.610683695060029,3.78,0.9959977129788451,23.32,329.66772929331114,0.5
Amazon,30851,3032,96,4.12190647126244,11.33,0.9924142480211082,31.583333333333332,735.5819500366713,0.75
Amazon,30853,2911,128,8.711379660258004,12.37,0.9927859841978701,22.7421875,334.16061674825283,1.0
Amazon,30855,13592,271,59.06346106841505,9.96,0.9856533254855797,50.154981549815496,230.125355916003,0.3
Amazon,30880,6971,345,33.960996603727956,23.78,0.9926839764739636,20.205797101449274,205.26488316408188,0.6
Amazon,30890,6502,490,102.53407734275534,12.55,0.9996924023377423,13.269387755102041,63.41306391498345,0.75
Amazon,30900,6667,570,173.55971997363926,17.55,0.9991000449977501,11.696491228070176,38.41329083160887,1.0
Amazon,30916,6164,344,59.876286869182046,19.41,0.9985399091499026,17.91860465116279,102.94559536510893,0.6
Amazon,30926,6338,415,53.8021301528445,4.34,0.997633322814768,15.272289156626506,117.80202720588586,0.6
Amazon,30938,5072,346,153.22446344831192,24.95,0.998422712933754,14.658959537572255,33.101763816656906,1.0
Amazon,30952,4476,275,37.755537878390655,14.14,0.9991063449508489,16.276363636363637,118.5521449705484,1.0
Amazon,30966,4221,233,31.832385676522556,17.79,0.9990523572613125,18.11587982832618,132.60080607508874,1.0
Amazon,30974,2971,240,53.82702268136371,18.26,0.9976438909458095,12.379166666666666,55.19532480158217,1.5
Amazon,30982,3044,233,66.6831619829418,24.57,0.9996714848883048,13.064377682403434,45.648705152564375,1.5
Amazon,30989,3112,265,43.13135688268341,11.39,0.9983933161953727,11.743396226415094,72.15168325134285,1.5
Amazon,31275,8588,550,129.47251256919432,30.8,0.9982533768048439,15.614545454545455,66.33068154455019,0.75
Amazon,31303,5793,449,112.90680951768702,30.88,0.9996547557396859,12.902004454342984,51.307799987852086,1.0
Amazon,31311,3965,367,139.34872865781722,40.99,0.9984867591424968,10.803814713896458,28.45379386084245,1.5
Amazon,31319,5228,396,101.18549289373648,29.57,0.999043611323642,13.202020202020202,51.66748562949008,1.0
Amazon,31515,8733,525,125.18180774883541,12.09,0.9986259017519753,16.634285714285713,69.7625330473089,0.5
Amazon,31535,8625,834,357.6158854957556,16.13,0.998840579710145,10.341726618705035,24.11805613177205,1.0
Amazon,31832,5466,491,159.38246951696127,25.63,0.9996341017197219,11.132382892057027,34.29486327176224,1.5
DPD,30159,4783,219,6.211813374113814,13.32,0.6836713359816015,21.840182648401825,769.9844975916311,0.6
DPD,30161,2359,84,1.7979843382791898,14.05,0.6964815599830436,28.083333333333332,1312.0247767328972,1.0
DPD,30163,2106,92,2.603733329707664,14.01,0.7749287749287749,22.891304347826086,808.8385918677981,1.0
DPD,30165,1757,91,4.951012974183712,15.88,0.7638019351166762,19.307692307692307,354.8768725029814,1.5
DPD,30167,2824,138,5.368928981069905,16.37,0.7347733711048159,20.463768115942027,525.9894496569111,1.0
DPD,30173,1708,86,4.775461708125837,13.13,0.8038641686182669,19.86046511627907,357.66175176186607,1.5
DPD,30177,1250,75,3.576189607493106,12.44,0.84,16.666666666666668,349.5340396328272,1.5
DPD,30179,1256,89,8.305970462175056,14.42,0.8073248407643312,14.112359550561798,151.21652619880564,2.0
DPD,30419,2858,257,23.77191867081394,19.64,0.8222533240027992,11.120622568093385,120.22588666807614,1.5
DPD,30449,2554,161,5.186686836161483,15.53,0.764682850430697,15.863354037267081,492.41453757985926,1.0
DPD,30453,1619,137,9.157258958740023,18.23,0.8072884496602841,11.817518248175183,176.79963046745195,2.0
DPD,30455,1318,151,6.967819653017212,19.47,0.8148710166919575,8.728476821192054,189.15529758714095,3.0
DPD,30457,1335,130,6.068989648841514,18.69,0.8134831460674158,10.26923076923077,219.9707162550249,3.0
DPD,30459,1284,119,7.274391190340525,16.25,0.8255451713395638,10.789915966386555,176.5096165992544,2.0
DPD,30519,2540,227,12.113461405690837,12.99,0.778740157480315,11.189427312775331,209.68407913585477,1.5
DPD,30539,1695,156,19.21423828970633,9.52,0.7085545722713864,10.865384615384615,88.21583111666023,2.0
DPD,30559,2467,213,19.484913733542946,7.42,0.7482772598297527,11.582159624413146,126.61077353158109,1.5
DPD,30625,1405,108,8.86389555258122,10.22,0.8170818505338078,13.00925925925926,158.50818544345952,2.0
DPD,30627,971,77,3.3903855235675273,8.59,0.7621009268795057,12.61038961038961,286.398108194571,0.75
DPD,30629,1173,121,14.669809711755617,6.08,0.8132992327365729,9.694214876033058,79.96013738746858,3.0
DPD,30655,1537,132,4.462508901721823,10.23,0.808067664281067,11.643939393939394,344.4250832546151,2.0
DPD,30657,1866,136,12.670949194485747,12.26,0.6763129689174705,13.720588235294118,147.26599967838732,1.5
DPD,30659,1368,122,11.3882150903338,8.73,0.7748538011695907,11.21311475409836,120.12418005356646,2.0
DPD,30823,1867,211,12.528872220645557,25.25,0.8018211033743974,8.848341232227488,149.01580662012705,2.0
DPD,30826,1639,212,56.38950461206911,27.87,0.860280658938377,7.731132075471698,29.065692477270016,3.0
