provider,plz,weekly_parcels,n_stops,area_km2,hub_dist_km,b2c_share,parcels_per_stop,parcels_per_km2,schedule_size,schedule_weekdays,schedule_idx,ml_cost_eur,avg_wait_d,max_wait_d,service_penalty_eur
DHL,30974,6515,244,53.82702268136371,1.4,0.8850345356868764,26.700819672131146,121.03586034409552,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,7992.907682920464,0.0,0.0,0.0
DHL,30982,6551,239,66.6831619829418,2.77,0.8998626163944436,27.410041841004183,98.24069233063378,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,8323.946314439723,0.0,0.0,0.0
DHL,30989,6841,271,43.13135688268341,5.72,0.891974857476977,25.243542435424356,158.60850421672123,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,8782.426231884756,0.0,0.0,0.0
DHL,31275,18743,571,129.47251256919432,2.93,0.9003361254868484,32.824868651488615,144.76431814037076,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,20205.792617240797,0.0,0.0,0.0
DHL,31303,12605,468,112.90680951768702,1.84,0.8835382784609283,26.933760683760685,111.64074207610487,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,14352.657766661061,0.0,0.0,0.0
DHL,31311,8577,380,139.34872865781722,3.81,0.9001982045004081,22.571052631578947,61.55061537060421,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,10654.411963773373,0.0,0.0,0.0
DHL,31319,10967,411,101.18549289373648,0.58,0.904896507704933,26.683698296836983,108.38510231419619,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,12370.205316717991,0.0,0.0,0.0
DHL,31515,19286,537,125.18180774883541,5.28,0.8895053406616198,35.91433891992551,154.06391988439248,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,21265.992365834725,0.0,0.0,0.0
DHL,31535,18533,880,357.6158854957556,5.5,0.9029299088113095,21.06022727272727,51.82376049740654,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,22543.196729563406,0.0,0.0,0.0
DHL,31832,11902,515,159.38246951696127,4.65,0.88909426987061,23.110679611650486,74.67571581787674,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,14353.658659833449,0.0,0.0,0.0
Amazon,30159,9019,221,6.211813374113814,13.81,0.9778245925268877,40.80995475113122,1451.9109729832576,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,11727.76374285368,0.0,0.0,0.0
Amazon,30161,4512,83,1.7979843382791898,12.74,0.9729609929078015,54.36144578313253,2509.4768090796238,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,6260.516941413511,0.0,0.0,0.0
Amazon,30163,4469,93,2.603733329707664,12.41,0.9771761020362497,48.053763440860216,1716.3816082892638,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,5986.593031440948,0.0,0.0,0.0
Amazon,30165,3574,92,4.951012974183712,10.52,0.9837716843872412,38.84782608695652,721.872477134693,5,"Mon,Tue,Wed,Fri,Sat",34,4364.743288596117,0.16666666666666666,1.0,297.8333333333333
Amazon,30167,5730,139,5.368928981069905,10.65,0.9781849912739965,41.223021582733814,1067.2519640701491,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,7214.883123660379,0.0,0.0,0.0
Amazon,30173,3759,87,4.775461708125837,15.11,0.982708167065709,43.206896551724135,787.149019246402,5,"Mon,Tue,Thu,Fri,Sat",35,4819.567808007222,0.16666666666666666,1.0,313.25
