penalty,share_willing,provider,day,n_plz,n_routes,distance_km,vroom_cost_eur,parcels,parcels_per_route,km_per_route,km_per_parcel,eur_per_parcel
0.0,1.0,Hermes,5,15,90,4643.865,25722.86,19225,213.61111111111111,51.598499999999994,0.24155344603381013,1.3379901170351105
0.0,1.0,UPS,0,15,83,4268.649,23027.16,17534,211.25301204819277,51.42950602409639,0.24344981179422837,1.3132861868370025
0.0,1.0,UPS,1,13,84,3199.652,21684.87,17892,213.0,38.091095238095235,0.17883143304270066,1.211986921529175
0.0,1.0,UPS,2,13,98,4137.287,25424.9,21722,221.6530612244898,42.21721428571429,0.1904652886474542,1.1704677285701133
0.0,1.0,UPS,3,15,96,4882.487,26388.08,20583,214.40625,50.859239583333334,0.23720968760627703,1.2820327454695624
0.0,1.0,UPS,4,13,98,3627.004,25012.57,21042,214.71428571428572,37.01024489795918,0.1723697367170421,1.188697367170421
0.0,1.0,UPS,5,12,81,3500.3,21160.670000000002,16876,208.34567901234567,43.21358024691358,0.20741289405072294,1.253891324958521
0.25,1.0,Amazon,0,31,173,9254.228000000001,48742.39,36738,212.35838150289018,53.492647398843935,0.2518979802928848,1.326756764113452
0.25,1.0,Amazon,1,27,173,9467.367,48833.46,37523,216.89595375722544,54.724664739884396,0.25230837086586894,1.301427391200064
0.25,1.0,Amazon,2,25,176,8396.993,48420.69,38492,218.70454545454547,47.7101875,0.21814904395718593,1.2579416502130314
0.25,1.0,Amazon,3,19,176,9850.742,48504.15,38770,220.2840909090909,55.970125,0.2540815579055971,1.2510742842403921
0.25,1.0,Amazon,4,25,176,8926.333999999999,48357.79,37918,215.4431818181818,50.71780681818181,0.23541151959491532,1.275325439105438
0.25,1.0,Amazon,5,26,176,8959.163,48779.78,38236,217.25,50.90433522727273,0.23431224500470763,1.2757553091327545
0.25,1.0,DHL,0,44,399,7446.702,92102.37,87833,220.1328320802005,18.663413533834586,0.08478250771350176,1.0486078125533682
0.25,1.0,DHL,1,37,358,6569.572,82115.4,78888,220.35754189944134,18.350759776536314,0.08327720312341548,1.0409111651962275
0.25,1.0,DHL,2,38,468,8283.14,106131.68,104227,222.70726495726495,17.699017094017094,0.079472113751715,1.0182743435002446
0.25,1.0,DHL,3,37,424,7574.066,96489.28,93720,221.03773584905662,17.86336320754717,0.080815898420828,1.0295484421681604
0.25,1.0,DHL,4,37,378,6618.7029999999995,86201.09,83246,220.2275132275132,17.509796296296294,0.07950776013261898,1.0354982821997454
0.25,1.0,DHL,5,40,313,6319.2880000000005,73561.04,68120,217.63578274760383,20.18941853035144,0.09276699941280095,1.0798743394010568
0.25,1.0,DPD,0,20,78,4758.914,22518.309999999998,16152,207.07692307692307,61.011717948717944,0.29463311045071816,1.39414995047053
0.25,1.0,DPD,1,23,78,4525.0380000000005,22490.15,15658,200.74358974358975,58.0133076923077,0.28899208072550775,1.4363360582449867
0.25,1.0,DPD,2,18,85,5810.489,24874.739999999998,17826,209.71764705882353,68.35869411764705,0.3259558510041512,1.395419050824638
0.25,1.0,DPD,3,16,87,4982.427,24421.88,18401,211.50574712643677,57.26927586206896,0.2707693603608499,1.3272039563067226
0.25,1.0,DPD,4,18,84,4878.948,23791.43,18051,214.89285714285714,58.08271428571429,0.2702868539139106,1.3180117445016897
0.25,1.0,DPD,5,21,79,5221.592,23316.59,16452,208.25316455696202,66.09610126582278,0.3173834184293703,1.4172495745198153
0.25,1.0,FedEx,0,20,70,3980.815,20285.2,14787,211.24285714285713,56.868785714285714,0.26921045512950564,1.3718266044498546
0.25,1.0,FedEx,1,15,72,3139.85,19693.89,15275,212.15277777777777,43.609027777777776,0.20555482815057283,1.2892890343698853
0.25,1.0,FedEx,2,16,74,3842.304,20808.47,15861,214.33783783783784,51.923027027027025,0.24224853414034425,1.3119267385410758
0.25,1.0,FedEx,3,16,75,4108.811,21443.36,15908,212.10666666666665,54.784146666666665,0.25828583102841335,1.3479607744531055
0.25,1.0,FedEx,4,13,75,3276.549,20236.829999999998,16149,215.32,43.68732,0.20289485417053688,1.2531320824818872
0.25,1.0,FedEx,5,17,72,3776.079,20360.81,15185,210.90277777777777,52.44554166666667,0.24867164965426408,1.3408501810997695
0.25,1.0,GLS,0,23,70,4487.65,21106.3,14094,201.34285714285716,64.1092857142857,0.3184085426422591,1.497537959415354
0.25,1.0,GLS,1,23,69,3942.717,20220.12,13736,199.07246376811594,57.14082608695652,0.28703530867792665,1.4720529994175888
0.25,1.0,GLS,2,16,70,4707.732,20868.65,14502,207.17142857142858,67.25331428571428,0.3246263963591229,1.4390187560336507
0.25,1.0,GLS,3,16,73,4998.833,21806.489999999998,14960,204.93150684931507,68.47716438356164,0.3341465909090909,1.4576530748663101
0.25,1.0,GLS,4,19,69,3686.814,19757.05,14425,209.05797101449275,53.43208695652174,0.25558502599653377,1.3696395147313691
0.25,1.0,GLS,5,17,69,4717.518,20807.46,14122,204.66666666666666,68.36982608695652,0.33405452485483644,1.4734074493697775
0.25,1.0,Hermes,0,25,96,4902.364,27623.64,19649,204.67708333333334,51.066291666666665,0.24949687006972363,1.4058547508779073
0.25,1.0,Hermes,1,23,96,4848.77,27451.27,19928,207.58333333333334,50.50802083333334,0.24331443195503816,1.3775225812926535
0.25,1.0,Hermes,2,24,97,5213.5289999999995,28106.06,20650,212.88659793814432,53.74772164948453,0.2524711380145278,1.3610682808716708
0.25,1.0,Hermes,3,14,99,4887.852,27735.260000000002,21488,217.05050505050505,49.37224242424242,0.22746891288160834,1.2907325018615041
0.25,1.0,Hermes,4,22,97,4966.277,27498.74,20649,212.8762886597938,51.198731958762885,0.24050932248535037,1.331722601578769
0.25,1.0,Hermes,5,22,96,4908.554,27650.03,19862,206.89583333333334,51.13077083333334,0.24713291712818447,1.392107038566106
0.25,1.0,UPS,0,25,90,4732.9580000000005,25495.489999999998,18411,204.56666666666666,52.58842222222223,0.2570722937374396,1.384796588995709
0.25,1.0,UPS,1,17,93,3827.6749999999997,24435.54,19816,213.0752688172043,41.15779569892473,0.1931608296326201,1.2331217198223658
0.25,1.0,UPS,2,19,94,3927.831,24938.66,19879,211.4787234042553,41.78543617021277,0.19758695105387597,1.2545228633231047
0.25,1.0,UPS,3,16,91,4812.064,25501.86,19663,216.07692307692307,52.879824175824176,0.24472684737832479,1.2969465493566597
0.25,1.0,UPS,4,18,90,4233.622,24223.97,19198,213.3111111111111,47.04024444444445,0.2205241170955308,1.261796541306386
0.25,1.0,UPS,5,18,91,3520.182,23886.75,18682,205.2967032967033,38.68331868131868,0.18842639974306818,1.2785970452842308
0.5,1.0,Amazon,0,41,178,9476.557,51381.33,36259,203.70224719101122,53.239084269662925,0.26135737334179104,1.4170641771698063
0.5,1.0,Amazon,1,37,182,10671.939,52898.2,37792,207.64835164835165,58.63702747252747,0.28238619284504657,1.399719517358171
0.5,1.0,Amazon,2,34,182,9389.622,51133.32,39145,215.08241758241758,51.591329670329664,0.2398677225699323,1.3062541831651553
0.5,1.0,Amazon,3,29,182,9552.526,51315.42,39082,214.73626373626374,52.48640659340659,0.24442264981321324,1.3130192927690496
0.5,1.0,Amazon,4,32,182,9916.587,51247.52,38204,209.9120879120879,54.486741758241756,0.2595693382891844,1.3414176526018218
0.5,1.0,Amazon,5,40,179,10166.63,52120.42,37195,207.79329608938548,56.79681564245809,0.2733332437155531,1.4012749025406641
0.5,1.0,DHL,0,48,394,7804.118,92263.69,85558,217.1522842639594,19.80740609137056,0.0912143575118633,1.0783759554921808
0.5,1.0,DHL,1,48,419,8135.314,97549.48999999999,90894,216.9307875894988,19.41602386634845,0.08950331154971726,1.0732225449424604
0.5,1.0,DHL,2,48,467,8686.779,107569.25,101634,217.63169164882228,18.601239828693792,0.08547119074325521,1.0583982722317336
0.5,1.0,DHL,3,48,442,8376.857,102342.4,96305,217.8846153846154,18.95216515837104,0.08698257619022896,1.0626904106744197
0.5,1.0,DHL,4,48,374,7504.28,87956.12,80161,214.3342245989305,20.064919786096254,0.09361509961203078,1.0972432978630506
0.5,1.0,DHL,5,48,292,6435.4439999999995,70558.12,61482,210.55479452054794,22.039191780821916,0.10467200156143261,1.1476223935460785
0.5,1.0,DPD,0,24,66,3821.631,19071.71,12899,195.43939393939394,57.9035,0.29627343204899603,1.4785417474222808
0.5,1.0,DPD,1,25,69,4217.965,20054.32,13788,199.82608695652175,61.12992753623189,0.3059156512909777,1.454476356251813
0.5,1.0,DPD,2,19,72,4490.689,20962.489999999998,14518,201.63888888888889,62.37068055555556,0.30931870781099324,1.4438965422234467
0.5,1.0,DPD,3,18,67,4037.88,19076.8,13779,205.65671641791045,60.266865671641796,0.29304593947311125,1.3844836345162927
0.5,1.0,DPD,4,20,62,3490.594,17587.96,13054,210.5483870967742,56.29990322580645,0.2673965068178336,1.347323425769879
0.5,1.0,DPD,5,24,74,4749.277,21781.22,14900,201.35135135135135,64.17941891891891,0.3187434228187919,1.461826845637584
