provider,plz,weekly_parcels,n_stops_per_day,parcels_per_stop,hub_dist_km,area_km2,daily_cost_eur,knee_size,knee_wait_d,knee_saving_pct,max_saving_pct,raumtyp_3
DPD,30657,1866,224.66666666666666,1.3842729970326408,12.26,12.670949194485747,3401.216151933136,4,0.3333333333333333,21.87885776737218,30.215368018214818,rural
DPD,30659,1368,198.83333333333334,1.1466890192791281,8.73,11.3882150903338,2805.14347087804,4,0.5,24.35052931608569,35.299387950962675,suburban
DPD,30823,1867,281.3333333333333,1.106042654028436,25.25,12.528872220645557,4111.0917592057,4,0.3333333333333333,21.56135101691189,34.21999550964016,suburban
DPD,30826,1639,260.3333333333333,1.0492957746478873,27.87,56.38950461206911,4351.923004302707,3,0.5,32.9787809195357,40.03179273045215,rural
DPD,30827,1601,237.66666666666666,1.1227208976157084,23.76,10.610683695060029,3869.9784058547975,3,0.5,33.742554849606734,39.329332262607565,suburban
DPD,30851,1281,185.66666666666666,1.1499102333931777,15.63,4.12190647126244,2516.708998423718,3,0.6666666666666666,13.46411101041068,35.452784707720504,suburban
DPD,30853,1470,207.66666666666666,1.1797752808988764,15.68,8.711379660258004,3185.145797786187,4,0.3333333333333333,24.09610649241416,39.62646609446886,suburban
DPD,30855,6668,841.5,1.3206575559516736,19.88,59.06346106841505,9743.517947599248,3,0.5,14.813674612094152,17.840954875732876,suburban
DPD,30880,3235,467.8333333333333,1.1524759529747062,12.89,33.960996603727956,5748.339202055428,4,0.3333333333333333,17.163485595228448,28.7529000091664,suburban
DPD,30890,2726,428.8333333333333,1.0594636610959969,32.64,102.53407734275534,6697.42299501188,3,0.5,26.459537144168834,33.652517593280834,rural
DPD,30900,2839,451.0,1.049150036954915,25.52,173.55971997363926,7686.90359384051,3,0.5,29.197098780884744,39.68988024532266,rural
DPD,30916,2914,438.5,1.1075636640060813,10.68,59.876286869182046,5366.783155021368,3,0.5,24.811412530901368,33.36300185613277,suburban
DPD,30926,2637,395.6666666666667,1.1107834877843303,25.6,53.8021301528445,6123.669469356319,3,0.5,27.995667487778473,33.355664362181535,rural
DPD,30938,2412,348.5,1.1535150645624104,17.56,153.22446344831192,5516.807170575946,3,0.5,28.100983682771723,36.48901194024048,rural
DPD,30952,1895,290.0,1.089080459770115,21.73,37.755537878390655,4401.846399695102,4,0.3333333333333333,21.87661472361669,35.556576069866445,suburban
DPD,30966,1807,276.1666666666667,1.0905250452625226,17.93,31.832385676522556,4000.751079516639,3,0.5,27.718200548045452,33.41944406901171,rural
DPD,30974,1280,200.66666666666666,1.06312292358804,28.84,53.82702268136371,3988.9731204115615,4,0.3333333333333333,24.009552639988872,44.839654733403165,rural
DPD,30982,1278,203.66666666666666,1.0458265139116203,20.59,66.6831619829418,3717.879935785234,3,0.5,30.659015538653218,43.65513258767862,rural
DPD,30989,1356,209.16666666666666,1.0804780876494025,25.63,43.13135688268341,4076.1333861951084,3,0.5,32.22114346433609,42.00108006742578,rural
DPD,31275,3643,572.0,1.0614801864801864,4.47,129.47251256919432,6167.149966652001,3,0.5,22.762665194805813,31.990249631909354,suburban
DPD,31303,2491,390.1666666666667,1.0640751815463476,10.77,112.90680951768702,5522.419807510521,4,0.3333333333333333,21.34379032304122,39.91017492721288,rural
DPD,31311,1650,263.8333333333333,1.0423246999368287,17.19,139.34872865781722,4897.896385826086,3,0.5,34.20164682545404,43.13479024869604,rural
DPD,31319,2115,332.5,1.0601503759398496,7.08,101.18549289373648,4343.981010971941,3,0.5,23.0374979718813,33.98047808648518,rural
