window,penalty,share_willing,total_cost_eur,avg_wait_days,cost_savings_pct
2,0.25,0.4,1836257.4018007438,0.1310293741209007,7.1244745146245085
2,0.25,0.5,1801042.6103014483,0.16378671765112593,8.905593143280635
2,0.25,0.6000000000000001,1765827.8188021528,0.19654406118135112,10.686711771936764
2,0.25,0.7000000000000001,1730613.027302857,0.22930140471157628,12.467830400592902
2,0.25,0.8,1695398.2358035613,0.2620587482418014,14.24894902924904
2,0.25,0.9,1660183.444304266,0.2948160917720266,16.030067657905157
2,0.25,1.0,1624968.6528049703,0.32757343530225186,17.811186286561295
2,0.5,0.0,1977116.5677979258,0.0,0.0
2,0.5,0.1,1947454.9811423116,0.01974875903509536,1.500244706797976
2,0.5,0.2,1917793.3944866976,0.03949751807019072,3.00048941359594
2,0.5,0.30000000000000004,1888131.8078310834,0.05924627710528608,4.500734120393917
2,0.5,0.4,1858470.221175469,0.07899503614038143,6.000978827191904
2,0.5,0.5,1828808.6345198548,0.09874379517547678,7.501223533989879
2,0.5,0.6000000000000001,1799147.0478642406,0.11849255421057216,9.001468240787858
2,0.5,0.7000000000000001,1769485.4612086266,0.13824131324566752,10.501712947585819
2,0.5,0.8,1739823.8745530122,0.15799007228076287,12.001957654383808
2,0.5,0.9,1710162.2878973978,0.17773883131585821,13.502202361181798
2,0.5,1.0,1680500.7012417838,0.19748759035095356,15.002447067979759
2,0.75,0.0,1977116.5677979258,0.0,0.0
2,0.75,0.1,1951527.5392135587,0.014489785954995395,1.294259984522192
2,0.75,0.2,1925938.510629191,0.02897957190999079,2.5885199690444076
2,0.75,0.30000000000000004,1900349.4820448237,0.043469357864986194,3.8827799535666117
2,0.75,0.4,1874760.4534604563,0.05795914381998158,5.177039938088815
2,0.75,0.5,1849171.4248760887,0.07244892977497698,6.471299922611031
2,0.75,0.6000000000000001,1823582.3962917218,0.08693871572997239,7.765559907133211
2,0.75,0.7000000000000001,1797993.3677073542,0.10142850168496777,9.059819891655426
2,0.75,0.8,1772404.339122987,0.11591828763996316,10.35407987617763
2,0.75,0.9,1746815.3105386195,0.13040807359495857,11.648339860699835
2,0.75,1.0,1721226.281954252,0.14489785954995396,12.942599845222052
2,1.0,0.0,1977116.5677979258,0.0,0.0
2,1.0,0.1,1956085.1120159489,0.010226157772095245,1.063743844168043
2,1.0,0.2,1935053.656233972,0.02045231554419049,2.127487688336086
2,1.0,0.30000000000000004,1914022.200451995,0.030678473316285735,3.1912315325041285
2,1.0,0.4,1892990.744670018,0.04090463108838098,4.254975376672172
2,1.0,0.5,1871959.288888041,0.05113078886047622,5.318719220840226
2,1.0,0.6000000000000001,1850927.833106064,0.06135694663257147,6.382463065008269
2,1.0,0.7000000000000001,1829896.3773240866,0.07158310440466671,7.446206909176335
2,1.0,0.8,1808864.92154211,0.08180926217676196,8.509950753344366
2,1.0,0.9,1787833.4657601328,0.09203541994885721,9.573694597512421
2,1.0,1.0,1766802.009978156,0.10226157772095244,10.637438441680452
2,2.0,0.0,1977116.5677979258,0.0,0.0
2,2.0,0.1,1971138.329779356,0.0018927452703469425,0.30237155036479285
2,2.0,0.2,1965160.091760786,0.003785490540693885,0.6047431007295975
2,2.0,0.30000000000000004,1959181.8537422158,0.0056782358110408285,0.9071146510944139
2,2.0,0.4,1953203.6157236458,0.00757098108138777,1.2094862014592185
2,2.0,0.5,1947225.3777050758,0.009463726351734711,1.5118577518240233
2,2.0,0.6000000000000001,1941247.1396865055,0.011356471622081657,1.8142293021888396
2,2.0,0.7000000000000001,1935268.9016679358,0.013249216892428597,2.1166008525536326
2,2.0,0.8,1929290.6636493658,0.01514196216277554,2.418972402918437
2,2.0,0.9,1923312.4256307958,0.017034707433122485,2.7213439532832417
2,2.0,1.0,1917334.1876122258,0.018927452703469422,3.0237155036480465
2,5.0,0.0,1977116.5677979258,0.0,0.0
2,5.0,0.1,1977116.5677979258,0.0,0.0
2,5.0,0.2,1977116.5677979258,0.0,0.0
2,5.0,0.30000000000000004,1977116.5677979258,0.0,0.0
2,5.0,0.4,1977116.5677979258,0.0,0.0
2,5.0,0.5,1977116.5677979258,0.0,0.0
2,5.0,0.6000000000000001,1977116.5677979258,0.0,0.0
2,5.0,0.7000000000000001,1977116.5677979258,0.0,0.0
2,5.0,0.8,1977116.5677979258,0.0,0.0
2,5.0,0.9,1977116.5677979258,0.0,0.0
2,5.0,1.0,1977116.5677979258,0.0,0.0
3,0.0,0.0,1977116.5677979258,0.0,0.0
3,0.0,0.1,1926739.233332328,0.09954268365093064,2.548020449887133
3,0.0,0.2,1876361.89886673,0.19908536730186127,5.096040899774278
3,0.0,0.30000000000000004,1825984.564401132,0.29862805095279193,7.644061349661423
3,0.0,0.4,1775607.2299355338,0.39817073460372254,10.19208179954858
3,0.0,0.5,1725229.895469936,0.49771341825465315,12.740102249435713
3,0.0,0.6000000000000001,1674852.5610043379,0.5972561019055839,15.288122699322871
3,0.0,0.7000000000000001,1624475.22653874,0.6967987855565145,17.836143149210002
3,0.0,0.8,1574097.8920731419,0.7963414692074451,20.38416359909716
3,0.0,0.9,1523720.5576075441,0.8958841528583757,22.932184048984293
3,0.0,1.0,1473343.223141946,0.9954268365093063,25.480204498871448
3,0.1,0.0,1977116.5677979258,0.0,0.0
3,0.1,0.1,1928484.5443190818,0.0732845523949765,2.459744876500093
3,0.1,0.2,1879852.5208402378,0.146569104789953,4.919489753000186
3,0.1,0.30000000000000004,1831220.4973613936,0.2198536571849295,7.379234629500291
3,0.1,0.4,1782588.4738825494,0.293138209579906,9.838979506000397
3,0.1,0.5,1733956.4504037055,0.3664227619748825,12.298724382500488
3,0.1,0.6000000000000001,1685324.4269248615,0.439707314369859,14.758469259000583
3,0.1,0.7000000000000001,1636692.4034460175,0.5129918667648355,17.218214135500677
3,0.1,0.8,1588060.379967173,0.586276419159812,19.677959012000795
3,0.1,0.9,1539428.3564883294,0.6595609715547885,22.137703888500873
3,0.1,1.0,1490796.3330094852,0.732845523949765,24.597448765000976
