provider,plz,weekly_parcels,dd_cost_balanced,schedule_size_balanced,avg_wait_d_balanced,daily_cost,saving_pct,area_km2,hub_dist_km,n_stops,raumtyp_3,raumtyp_8_name,hubdist_bin
Amazon,30455,3165,4127.077757767446,4,0.3333333333333333,4820.378887430032,14.382710277619205,6.967819653017212,9.84,158,suburban,Städtisch mit Verdichtungsansätzen,5-10km
Amazon,30457,3134,4073.621538131454,3,0.6666666666666666,4934.7989617734975,17.451114631274628,6.068989648841514,13.37,135,suburban,Städtisch mit Verdichtungsansätzen,10-20km
Amazon,30459,3087,4027.289421372748,3,0.6666666666666666,4858.408897775894,17.106824351149605,7.274391190340525,13.92,124,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
Amazon,30519,5508,7696.396038035295,5,0.1666666666666666,8140.269152347262,5.452806363091519,13.714884737746763,17.38,242,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
Amazon,30539,3516,5545.854565030704,5,0.1666666666666666,5821.859629336905,4.74084024484865,19.21423828970633,21.37,157,rural,Umland dörflich mit geringem gewerblichem Einfluss,20km+
Amazon,30559,5369,7818.819540738408,5,0.1666666666666666,8252.52270516162,5.255401044240062,19.484913733542946,20.15,222,suburban,Städtisch mit Verdichtungsansätzen,20km+
Amazon,30625,3180,4449.92997656719,4,0.5,4932.584335545381,9.785019903259796,8.86389555258122,16.66,114,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
Amazon,30627,2090,3110.1874794374,4,0.5,3472.360903435115,10.430178027849191,3.3903855235675273,17.89,79,suburban,Städtisch mit Verdichtungsansätzen,10-20km
Amazon,30629,2757,3877.117790616604,4,0.3333333333333333,4629.145185289602,16.2454916528169,14.669809711755617,20.32,122,suburban,Städtisch mit Verdichtungsansätzen,20km+
Amazon,30655,3642,5061.237427944449,6,0.0,5061.237427944449,0.0,4.462508901721823,16.14,137,suburban,Städtisch mit Verdichtungsansätzen,10-20km
Amazon,30657,3559,4840.301184223848,3,0.6666666666666666,5227.080664344542,7.399531496788075,12.670949194485747,15.05,138,rural,Umland dörflich ohne gewerblichen Einfluss,10-20km
Amazon,30659,3002,3880.2341404194767,3,0.5,4975.003626465991,22.005400764384714,11.3882150903338,18.11,130,suburban,Städtisch mit gewerblicher Prägung,10-20km
Amazon,30823,4370,4943.943843359236,3,0.6666666666666666,5705.037154540299,13.340724881613681,12.528872220645557,1.29,222,suburban,Städtisch mit Verdichtungsansätzen,0-5km
Amazon,30826,3852,4835.781917294416,4,0.3333333333333333,5673.254342811335,14.761764146500719,56.38950461206911,3.98,233,rural,Umland dörflich mit geringem gewerblichem Einfluss,0-5km
Amazon,30827,3498,4536.061456785562,6,0.0,4536.061456785562,0.0,10.610683695060029,3.78,150,suburban,Umland Verstädtert,0-5km
Amazon,30851,3032,3592.3400885632327,3,0.5,4490.007090916008,19.992551997721716,4.12190647126244,11.33,96,suburban,Umland Verstädtert,10-20km
Amazon,30853,2911,3695.0760020381376,3,0.6666666666666666,4319.068900643669,14.447393939757195,8.711379660258004,12.37,128,suburban,Umland Verstädtert,10-20km
Amazon,30855,13592,16244.345238115564,6,0.0,16244.345238115564,0.0,59.06346106841505,9.96,271,suburban,Städtisch mit Verdichtungsansätzen,5-10km
Amazon,30880,6971,10602.353065904044,5,0.1666666666666666,11278.054808972109,5.99129685493742,33.960996603727956,23.78,345,suburban,Umland Verstädtert,20km+
Amazon,30890,6502,8610.320771791876,3,0.6666666666666666,10080.548522471709,14.58479910495326,102.53407734275534,12.55,490,rural,Umland dörflich ohne gewerblichen Einfluss,10-20km
Amazon,30900,6667,9280.00429621394,3,0.5,12085.38072969665,23.21297521549515,173.55971997363926,17.55,570,rural,Umland dörflich mit geringem gewerblichem Einfluss,10-20km
Amazon,30916,6164,8082.327124731505,3,0.5,9904.82527723206,18.400104004760983,59.876286869182046,19.41,344,suburban,Umland Verstädtert,10-20km
Amazon,30926,6338,8217.353700378722,5,0.1666666666666666,8752.96361616949,6.119183619149605,53.8021301528445,4.34,415,rural,Umland dörflich ohne gewerblichen Einfluss,0-5km
Amazon,30938,5072,7780.397887716424,3,0.5,9384.90809448861,17.09670665517175,153.22446344831192,24.95,346,rural,Umland dörflich mit geringem gewerblichem Einfluss,20km+
Amazon,30952,4476,6549.137723054579,4,0.5,7076.623355325187,7.453917013594813,37.755537878390655,14.14,275,suburban,Städtisch mit Verdichtungsansätzen,10-20km
Amazon,30966,4221,6286.850700757566,4,0.5,6955.194722247112,9.609278362139287,31.832385676522556,17.79,233,rural,Umland dörflich ohne gewerblichen Einfluss,10-20km
Amazon,30974,2971,4323.977179838595,3,0.5,5436.138154721389,20.458659129493633,53.82702268136371,18.26,240,rural,Umland dörflich mit geringem gewerblichem Einfluss,10-20km
Amazon,30982,3044,4682.057019636954,3,0.5,6084.06789519755,23.043971561646632,66.6831619829418,24.57,233,rural,Umland dörflich ohne gewerblichen Einfluss,20km+
Amazon,30989,3112,4399.782809632136,3,0.6666666666666666,5499.955907320829,20.003307594235164,43.13135688268341,11.39,265,rural,Umland dörflich ohne gewerblichen Einfluss,10-20km
Amazon,31275,8588,13294.066678573514,5,0.1666666666666666,14129.512676709495,5.912772911928492,129.47251256919432,30.8,550,suburban,Umland Verstädtert,20km+
Amazon,31303,5793,8490.58153238755,3,0.5,10291.231205914351,17.49693148951868,112.90680951768702,30.88,449,rural,Umland dörflich ohne gewerblichen Einfluss,20km+
Amazon,31311,3965,6796.575200771486,3,0.5,8790.113460938559,22.67932341289954,139.34872865781722,40.99,367,rural,Umland dörflich mit geringem gewerblichem Einfluss,20km+
Amazon,31319,5228,7772.939219102163,3,0.5,9320.815628099372,16.606662665130298,101.18549289373648,29.57,396,rural,Umland dörflich ohne gewerblichen Einfluss,20km+
Amazon,31515,8733,11267.204927516,4,0.5,12450.58174407703,9.504590555569688,125.18180774883541,12.09,525,rural,Umland dörflich mit geringem gewerblichem Einfluss,10-20km
Amazon,31535,8625,12552.221505916852,3,0.6666666666666666,15851.91067139521,20.815718899000927,357.6158854957556,16.13,834,rural,Umland dörflich mit geringem gewerblichem Einfluss,10-20km
Amazon,31832,5466,8731.816638176937,3,0.5,11355.500473785536,23.10495994135565,159.38246951696127,25.63,491,rural,Umland dörflich mit geringem gewerblichem Einfluss,20km+
DPD,30159,4783,5927.411976648511,3,0.6666666666666666,6656.069904499083,10.947269759863033,6.211813374113814,13.32,219,urban,Metropoles Zentrum,10-20km
DPD,30161,2359,2845.8058971795253,4,0.3333333333333333,3438.63845418782,17.240328255106345,1.7979843382791898,14.05,84,urban,Zentrumsnah hochverdichtete Wohnnutzung,10-20km
DPD,30163,2106,2748.852269844372,3,0.5,3176.704105051865,13.468419502058332,2.603733329707664,14.01,92,urban,Zentrumsnah hochverdichtete Wohnnutzung,10-20km
DPD,30165,1757,2453.2102162809724,4,0.3333333333333333,3109.5847921201566,21.108109915589704,4.951012974183712,15.88,91,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
DPD,30167,2824,3877.845160485222,4,0.3333333333333333,4548.61275587726,14.746641039629921,5.368928981069905,16.37,138,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
DPD,30173,1708,2121.4444601283994,3,0.6666666666666666,3042.0725720869623,30.263187026040654,4.775461708125837,13.13,86,urban,Zentrumsnah hochverdichtete Wohnnutzung,10-20km
DPD,30177,1250,1575.5207942947843,3,0.6666666666666666,2301.8161532682093,31.55314371837222,3.576189607493106,12.44,75,urban,Zentrumsnah hochverdichtete Wohnnutzung,10-20km
DPD,30179,1256,1636.778597989217,3,0.6666666666666666,2402.9493976963904,31.884599835588304,8.305970462175056,14.42,89,suburban,Städtisch mit gewerblicher Prägung,10-20km
DPD,30419,2858,4213.5642046597695,3,0.5,5350.888005691542,21.254860872102785,23.77191867081394,19.64,257,suburban,Städtisch mit gewerblicher Prägung,10-20km
DPD,30449,2554,3759.5466278412864,5,0.1666666666666666,4115.648431001423,8.652386352482726,5.186686836161483,15.53,161,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
DPD,30453,1619,2423.4914947350107,3,0.5,3546.158276962033,31.658676645104585,9.157258958740023,18.23,137,suburban,Städtisch mit Verdichtungsansätzen,10-20km
DPD,30455,1318,2229.8306267292865,3,0.5,3189.32194545774,30.08449241366083,6.967819653017212,19.47,151,suburban,Städtisch mit Verdichtungsansätzen,10-20km
DPD,30457,1335,1970.9776878445784,2,1.0,3071.8681502213976,35.83781622585185,6.068989648841514,18.69,130,suburban,Städtisch mit Verdichtungsansätzen,10-20km
DPD,30459,1284,1818.2324374024836,3,0.6666666666666666,2692.648089162524,32.4741898237435,7.274391190340525,16.25,119,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
DPD,30519,2540,3404.54530982434,3,0.5,4359.743796141659,21.90950961757575,12.113461405690837,12.99,227,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
DPD,30539,1695,2267.82390067263,3,0.6666666666666666,3283.465182476126,30.93199487005313,19.21423828970633,9.52,156,rural,Umland dörflich mit geringem gewerblichem Einfluss,5-10km
DPD,30559,2467,3018.620741016708,3,0.5,3964.267070732265,23.854253834136372,19.484913733542946,7.42,213,suburban,Städtisch mit Verdichtungsansätzen,5-10km
DPD,30625,1405,2253.258880643454,4,0.5,2879.61806243138,21.751467319907874,8.86389555258122,10.22,108,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
