provider,plz,penalty,share_willing,total_eur,baseline_eur,saving_pct,area_km2,hub_dist_km,n_stops,weekly_parcels,raumtyp_3
FedEx,30163,0.0,0.0,8257.65060106912,8257.65060106912,0.0,19.436906373559538,7.51,263,6210,urban
FedEx,30167,0.0,0.0,5175.6698343295675,5175.6698343295675,0.0,5.368928981069905,8.96,132,3775,urban
FedEx,30419,0.0,0.0,3306.0595520416546,3306.0595520416546,0.0,23.77191867081394,5.53,136,1709,suburban
FedEx,30449,0.0,0.0,5430.5021475969215,5430.5021475969215,0.0,12.46107802650201,12.7,204,3703,urban
FedEx,30453,0.0,0.0,3326.3835685835006,3326.3835685835006,0.0,9.157258958740025,10.07,106,1516,suburban
FedEx,30455,0.0,0.0,1959.2973539377524,1959.2973539377524,0.0,6.967819653017212,11.34,85,612,suburban
FedEx,30457,0.0,0.0,1996.1328134447208,1996.1328134447208,0.0,6.068989648841514,14.63,82,778,suburban
FedEx,30519,0.0,0.0,4147.606607808722,4147.606607808722,0.0,13.714884737746765,15.57,154,2372,urban
FedEx,30539,0.0,0.0,4110.789837016759,4110.789837016759,0.0,19.21423828970633,18.41,81,2429,rural
FedEx,30559,0.0,0.0,5375.733073538704,5375.733073538704,0.0,34.15472344529856,15.2,165,3144,suburban
FedEx,30625,0.0,0.0,3602.9465575642243,3602.9465575642243,0.0,12.254281076148748,12.66,134,2229,urban
FedEx,30655,0.0,0.0,3651.3066283117864,3651.3066283117864,0.0,15.85072399205562,11.41,144,2242,suburban
FedEx,30657,0.0,0.0,4510.957538899967,4510.957538899967,0.0,12.670949194485749,8.22,82,3429,rural
FedEx,30823,0.0,0.0,2013.2163655803622,2013.2163655803622,0.0,12.528872220645557,8.07,113,878,suburban
FedEx,30827,0.0,0.0,4491.66174623818,4491.66174623818,0.0,67.00018830712914,7.42,137,2757,suburban
FedEx,30853,0.0,0.0,4558.287686101956,4558.287686101956,0.0,12.833286131520444,4.82,152,3029,suburban
FedEx,30855,0.0,0.0,11164.944696921486,11164.944696921486,0.0,59.06346106841505,1.5,210,9970,suburban
FedEx,30880,0.0,0.0,6033.650689518244,6033.650689518244,0.0,33.96099660372796,22.05,184,3498,suburban
FedEx,30890,0.0,0.0,3937.614024274669,3937.614024274669,0.0,102.53407734275534,20.22,167,1281,rural
FedEx,30900,0.0,0.0,4467.0239843658765,4467.0239843658765,0.0,173.55971997363926,10.92,207,1597,rural
FedEx,30916,0.0,0.0,5459.16940205895,5459.16940205895,0.0,59.876286869182046,11.65,204,3245,suburban
FedEx,30926,0.0,0.0,3230.0558047592294,3230.0558047592294,0.0,53.8021301528445,10.98,152,1266,rural
FedEx,30938,0.0,0.0,5737.710883078335,5737.710883078335,0.0,153.22446344831192,16.47,151,3131,rural
FedEx,30952,0.0,0.0,2694.734755168253,2694.734755168253,0.0,37.755537878390655,17.01,132,979,suburban
FedEx,30966,0.0,0.0,2504.2719321468335,2504.2719321468335,0.0,31.83238567652256,18.53,102,1063,rural
FedEx,30974,0.0,0.0,2454.671117478426,2454.671117478426,0.0,53.82702268136371,23.36,94,802,rural
FedEx,30982,0.0,0.0,2716.2138956601093,2716.2138956601093,0.0,66.6831619829418,25.47,105,618,rural
FedEx,30989,0.0,0.0,2473.2391948618315,2473.2391948618315,0.0,43.13135688268341,16.61,128,876,rural
FedEx,31275,0.0,0.0,5422.493872435705,5422.493872435705,0.0,129.47251256919432,24.61,246,2133,suburban
FedEx,31303,0.0,0.0,3973.889348501275,3973.889348501275,0.0,112.90680951768702,23.03,195,1243,rural
FedEx,31311,0.0,0.0,3062.8021398398528,3062.8021398398528,0.0,139.34872865781722,33.34,113,675,rural
FedEx,31319,0.0,0.0,2817.067630852216,2817.067630852216,0.0,101.18549289373648,25.21,119,751,rural
FedEx,31515,0.0,0.0,5470.280769208987,5470.280769208987,0.0,125.1818077488354,19.63,249,2478,rural
FedEx,31535,0.0,0.0,6228.495098699879,6228.495098699879,0.0,357.6158854957556,17.87,237,2005,rural
FedEx,31832,0.0,0.0,4547.708372184966,4547.708372184966,0.0,159.3824695169613,29.81,182,1068,rural
GLS,30159,0.0,0.0,4840.335510593373,4840.335510593373,0.0,6.211813374113814,11.0,208,3332,urban
GLS,30161,0.0,0.0,3003.1123197883485,3003.1123197883485,0.0,1.7979843382791898,12.21,80,1649,urban
