penalty,share_willing,provider,day,n_plz,n_routes,distance_km,vroom_cost_eur,parcels,parcels_per_route,km_per_route,km_per_parcel,eur_per_parcel
0.5,1.0,DPD,4,23,83,5039.502,24138.35,17582,211.83132530120483,60.71689156626506,0.28662848367648736,1.372901262654988
0.5,1.0,DPD,5,27,84,5364.408,25015.72,16919,201.41666666666666,63.862,0.31706412908564335,1.4785578343873753
0.5,1.0,FedEx,0,23,72,3884.8450000000003,20941.92,14628,203.16666666666666,53.95618055555556,0.26557595023243097,1.4316324856439704
0.5,1.0,FedEx,1,25,81,4272.56,23394.56,16427,202.80246913580248,52.74765432098766,0.26009374809764413,1.4241529189748585
0.5,1.0,FedEx,2,21,81,4136.489,23004.99,16922,208.91358024691357,51.06776543209876,0.24444445101051882,1.3594722845999292
0.5,1.0,FedEx,3,22,78,3937.803,22272.18,15848,203.17948717948718,50.48465384615385,0.24847318273599192,1.405362190812721
0.5,1.0,FedEx,4,18,72,4095.757,20927.12,14762,205.02777777777777,56.88551388888889,0.27745271643408753,1.4176344668744072
0.5,1.0,FedEx,5,25,73,3846.984,21008.71,14578,199.6986301369863,52.698410958904105,0.2638896968034024,1.441124296885718
0.5,1.0,GLS,0,25,70,4460.6,21333.25,13394,191.34285714285716,63.72285714285715,0.33302971479767063,1.592746752277139
0.5,1.0,GLS,1,27,71,4840.632,22162.69,14396,202.7605633802817,68.17791549295774,0.3362484023339816,1.5395033342595164
0.5,1.0,GLS,2,20,70,4294.106,20724.76,14319,204.55714285714285,61.34437142857143,0.29988867937705144,1.4473608492213141
0.5,1.0,GLS,3,19,71,5328.5779999999995,22176.17,14588,205.46478873239437,75.05039436619718,0.3652713188922402,1.5201652042774882
0.5,1.0,GLS,4,24,71,3660.944,20573.83,15054,212.0281690140845,51.562591549295774,0.24318745848279527,1.3666686594924937
0.5,1.0,GLS,5,24,70,5297.326,22141.760000000002,14088,201.25714285714287,75.67608571428572,0.37601689381033504,1.5716751845542307
0.5,1.0,Hermes,0,33,100,5647.334,30267.14,19917,199.17,56.47334,0.2835434051312949,1.519663603956419
0.5,1.0,Hermes,1,28,99,5135.472,28856.57,19582,197.7979797979798,51.87345454545454,0.26225472372587066,1.4736273107956286
0.5,1.0,Hermes,2,26,100,5162.11,28987.89,20816,208.16,51.6211,0.24798760568793235,1.3925773443504996
0.5,1.0,Hermes,3,19,99,5820.04,29518.53,21188,214.02020202020202,58.78828282828283,0.2746856711346045,1.3931720785350197
0.5,1.0,Hermes,4,26,101,4823.527,28607.33,20783,205.77227722772278,47.75769306930693,0.2320900255016119,1.3764774094211616
0.5,1.0,Hermes,5,29,99,5474.733,29396.52,19940,201.41414141414143,55.300333333333334,0.27456033099297894,1.4742487462387162
0.5,1.0,UPS,0,31,95,4845.19,27034.09,18634,196.14736842105262,51.001999999999995,0.2600187828700225,1.4507937104218096
0.5,1.0,UPS,1,27,96,4567.595,26629.71,19853,206.80208333333334,47.579114583333336,0.23007077016068103,1.3413443812018335
0.5,1.0,UPS,2,23,96,4396.572,26480.760000000002,19829,206.55208333333334,45.797625000000004,0.22172434313379394,1.3354561500832116
0.5,1.0,UPS,3,21,96,4547.621,26127.86,19813,206.38541666666666,47.37105208333333,0.22952712865290467,1.3187230606167668
0.5,1.0,UPS,4,23,92,4169.059,25120.43,19109,207.70652173913044,45.315858695652175,0.21817253650112514,1.3145863205819248
0.5,1.0,UPS,5,25,92,4699.2119999999995,26060.25,18411,200.1195652173913,51.07839130434782,0.25523936776926837,1.415471728857748
0.75,1.0,Amazon,0,43,178,9984.4,52055.4,35566,199.80898876404495,56.09213483146067,0.28072878591913625,1.4636281842208851
0.75,1.0,Amazon,1,46,205,11635.977,59879.86,42029,205.01951219512196,56.76086341463415,0.2768559090152038,1.4247272121630303
0.75,1.0,Amazon,2,43,205,11260.365,59145.28,42655,208.0731707317073,54.92860975609756,0.26398698862970343,1.3865966475208065
0.75,1.0,Amazon,3,42,201,10995.269,57911.55,41627,207.09950248756218,54.702830845771146,0.2641379152953612,1.3912016239459966
0.75,1.0,Amazon,4,40,165,9457.551,48096.05,33445,202.6969696969697,57.318490909090904,0.2827792196142921,1.438063985648079
0.75,1.0,Amazon,5,46,161,9689.728,48700.33,32355,200.96273291925465,60.184645962732915,0.2994816257147272,1.5051871426363777
0.75,1.0,DHL,0,48,394,7814.13,92274.59,85558,217.1522842639594,19.83281725888325,0.09133137754505716,1.078503354449613
0.75,1.0,DHL,1,48,419,8121.211,97534.01,90894,216.9307875894988,19.382365155131264,0.0893481527933637,1.0730522366712874
0.75,1.0,DHL,2,48,467,8685.547,107566.19,101634,217.63169164882228,18.5986017130621,0.08545906881555386,1.0583681641970206
0.75,1.0,DHL,3,48,442,8386.356,102370.34,96305,217.8846153846154,18.973656108597286,0.08708121073672187,1.0629805306058875
0.75,1.0,DHL,4,48,374,7504.491,87964.8,80161,214.3342245989305,20.06548395721925,0.09361773181472287,1.09735157994536
0.75,1.0,DHL,5,48,292,6435.511,70563.02,61482,210.55479452054794,22.039421232876713,0.10467309131127811,1.1477020916691065
0.75,1.0,DPD,0,35,86,5891.607,26651.21,16631,193.38372093023256,68.50705813953488,0.35425452468282126,1.6025019541819494
0.75,1.0,DPD,1,35,88,5917.796,26934.52,16696,189.72727272727272,67.24768181818182,0.35444393866794444,1.6132319118351701
0.75,1.0,DPD,2,25,89,5924.55,26724.12,17282,194.17977528089887,66.56797752808988,0.34281622497396136,1.5463557458627473
0.75,1.0,DPD,3,25,85,5473.902,25315.72,17384,204.51764705882354,64.39884705882353,0.31488161527841696,1.4562655315232398
0.75,1.0,DPD,4,28,87,5235.758,25594.43,18043,207.39080459770116,60.181126436781604,0.29018223133625226,1.4185240813611928
0.75,1.0,DPD,5,35,87,6365.6,27502.95,16504,189.70114942528735,73.16781609195402,0.3857004362578769,1.666441468734852
0.75,1.0,FedEx,0,25,76,4208.841,22266.58,14594,192.02631578947367,55.379486842105266,0.2883952994381253,1.5257352336576677
0.75,1.0,FedEx,1,27,81,4280.13,23584.47,16173,199.66666666666666,52.84111111111111,0.26464663327768506,1.4582619180115006
0.75,1.0,FedEx,2,21,81,4248.718,23242.73,16659,205.66666666666666,52.453308641975305,0.2550403985833483,1.3952055945735038
0.75,1.0,FedEx,3,23,80,3921.14,22637.19,16100,201.25,49.01425,0.24354906832298137,1.406036645962733
0.75,1.0,FedEx,4,21,76,4333.922,22268.47,15232,200.42105263157896,57.025289473684204,0.28452744222689075,1.4619531250000002
0.75,1.0,FedEx,5,29,74,4194.24,21916.09,14407,194.6891891891892,56.67891891891892,0.29112514749774415,1.521211216769626
0.75,1.0,GLS,0,33,74,4934.018,23285.45,13540,182.97297297297297,66.67591891891892,0.36440310192023634,1.7197525849335302
0.75,1.0,GLS,1,31,72,4964.58,22645.81,14270,198.19444444444446,68.9525,0.3479032936229853,1.5869523475823406
0.75,1.0,GLS,2,25,73,5331.507,23273.23,14833,203.1917808219178,73.03434246575343,0.35943551540484053,1.5690170565630688
0.75,1.0,GLS,3,24,73,5055.6,22525.06,14728,201.75342465753425,69.25479452054795,0.3432645301466595,1.5294038565996741
0.75,1.0,GLS,4,25,72,4011.053,21235.49,14506,201.47222222222223,55.709069444444445,0.2765099269267889,1.463910795532883
0.75,1.0,GLS,5,30,72,5838.914,23962.19,13962,193.91666666666666,81.09602777777778,0.41820040108866924,1.7162433748746597
0.75,1.0,Hermes,0,36,100,5612.972,30576.53,19164,191.64,56.12972,0.29289146316009185,1.595519202671676
0.75,1.0,Hermes,1,32,102,6005.334,31147.0,19933,195.42156862745097,58.87582352941176,0.30127597451462396,1.5625846586063312
0.75,1.0,Hermes,2,29,101,5100.984,29424.22,20970,207.62376237623764,50.504792079207924,0.24325150214592275,1.403157844539819
0.75,1.0,Hermes,3,27,101,5553.109,29810.0,21021,208.12871287128712,54.98127722772278,0.26416959231244946,1.4181057038199896
0.75,1.0,Hermes,4,27,103,5669.105,30471.9,20872,202.64077669902912,55.03985436893203,0.27161292640858564,1.45994154848601
0.75,1.0,Hermes,5,36,101,5667.04,30548.78,20266,200.65346534653466,56.109306930693066,0.2796328826606138,1.507390703641567
0.75,1.0,UPS,0,31,90,4264.061,25300.73,17657,196.1888888888889,47.378455555555554,0.2414940816673274,1.4329008325310075
0.75,1.0,UPS,1,32,105,5621.094,30229.7,20965,199.66666666666666,53.53422857142857,0.2681180062008109,1.4419127116622943
0.75,1.0,UPS,2,30,105,4761.768,28882.55,20897,199.01904761904763,45.35017142857143,0.22786849787050772,1.3821385844858114
0.75,1.0,UPS,3,25,103,4732.326,28267.25,20963,203.5242718446602,45.94491262135922,0.22574660115441492,1.3484353384534655
0.75,1.0,UPS,4,27,89,4460.977,25311.73,17983,202.0561797752809,50.12333707865169,0.24806634043263082,1.4075365623088472
0.75,1.0,UPS,5,32,91,5219.422,26800.96,17184,188.83516483516485,57.35628571428571,0.3037373137802607,1.5596461824953445
