provider,plz,weekly_parcels,schedule_size,weekly_cost,cost_per_parcel
DHL,30449,7431,2,6573.093772198885,0.8845503663300881
DHL,30449,7431,3,6650.793703104893,0.8950065540445288
DHL,30449,7431,4,6897.792525025583,0.9282455288690059
DHL,30449,7431,5,7100.454753319037,0.9555180666557713
DHL,30449,7431,6,7347.453575239728,0.9887570414802487
DHL,30453,8150,2,7680.806861456553,0.9424302897492702
DHL,30453,8150,3,7840.405172245952,0.9620129045700554
DHL,30453,8150,4,8157.427585997464,1.0009113602450876
DHL,30453,8150,5,8341.461454776405,1.0234922030400497
DHL,30453,8150,6,8658.48386852792,1.0623906587150822
DHL,30455,6748,2,6626.9714558930955,0.9820645311044895
DHL,30455,6748,3,6605.423662149648,0.9788713192278673
DHL,30455,6748,4,6889.103637267113,1.0209104382434964
DHL,30455,6748,5,7205.973747458429,1.067868071644699
DHL,30455,6748,6,7527.456030665768,1.1155091924519513
DHL,30457,6736,2,6371.644514892886,0.9459092213320793
DHL,30457,6736,3,6449.685742676056,0.9574949142927637
DHL,30457,6736,4,6748.7962010748,1.001899673556235
DHL,30457,6736,5,7049.276460611575,1.0465077880955427
DHL,30457,6736,6,7354.002647928393,1.0917462363314123
DHL,30459,6561,2,5996.231553274256,0.9139203708694187
DHL,30459,6561,3,6088.203365079273,0.9279383272487841
DHL,30459,6561,4,6343.437341231242,0.9668400154292397
DHL,30459,6561,5,6471.51811485253,0.9863615477598735
DHL,30459,6561,6,6771.123707403422,1.0320261709195888
DHL,30519,12645,2,12485.015474258022,0.987348001127562
DHL,30519,12645,3,12600.669958569273,0.99649426323205
DHL,30519,12645,4,12774.114579934618,1.010210722019345
DHL,30519,12645,5,12972.43785420795,1.0258946503920878
DHL,30519,12645,6,13308.820557103656,1.052496683044971
DHL,30539,8372,2,8119.0719452708645,0.9697888133386126
DHL,30539,8372,3,8195.294734134353,0.9788933031694164
DHL,30539,8372,4,8555.544181592442,1.0219235763966128
DHL,30539,8372,5,8920.172569260612,1.065476895516079
DHL,30539,8372,6,9286.525269235735,1.1092361764495622
DHL,30559,12320,2,11309.307107771274,0.9179632392671488
DHL,30559,12320,3,11465.22027285365,0.9306185286407184
DHL,30559,12320,4,11660.75035016818,0.94648947647469
DHL,30559,12320,5,11885.483122439953,0.9647307729253208
DHL,30559,12320,6,12284.837795811716,0.9971459249847172
DHL,30625,7084,2,7128.540269367256,1.0062874462686697
DHL,30625,7084,3,7181.224763092473,1.0137245571841436
DHL,30625,7084,4,7487.514396864476,1.0569613773100615
DHL,30625,7084,5,7779.7590112949265,1.0982155577773753
DHL,30625,7084,6,8086.04864506693,1.1414523779032932
DHL,30627,4809,2,4699.2840313232045,0.9771852841179465
DHL,30627,4809,3,4740.319675687137,0.9857183771443412
DHL,30627,4809,4,4976.208624374823,1.0347699364472493
DHL,30627,4809,5,5238.703173664245,1.0893539558461727
DHL,30627,4809,6,5514.281577292458,1.14665867691671
DHL,30629,5907,2,5775.421654190637,0.9777250134062362
DHL,30629,5907,3,5870.057827668337,0.993746034817731
DHL,30629,5907,4,6215.588248254781,1.0522411119442663
DHL,30629,5907,5,6569.029318081634,1.112075388197331
DHL,30629,5907,6,6938.7092279943945,1.174658748602403
DHL,30655,7945,2,7777.786461396818,0.9789536137692659
DHL,30655,7945,3,8043.360526972716,1.0123801796063834
DHL,30655,7945,4,8140.157483078508,1.0245635598588432
DHL,30655,7945,5,8459.053224543555,1.0647014757134745
DHL,30655,7945,6,8750.574451506249,1.1013938894280992
DHL,30657,9056,2,9052.078900757915,0.9995670164264482
DHL,30657,9056,3,9236.05388096853,1.0198822748419312
DHL,30657,9056,4,9524.571834500719,1.0517415894987543
DHL,30657,9056,5,9723.56881417649,1.0737156376078278
DHL,30657,9056,6,10074.373015474968,1.1124528506487377
DHL,30659,6829,2,6998.265379977967,1.0247862615284766
DHL,30659,6829,3,7108.341816916753,1.0409052301825674
DHL,30659,6829,4,7410.679665445731,1.0851778687136815
DHL,30659,6829,5,7516.381950359701,1.1006563113720458
DHL,30659,6829,6,7845.484492740136,1.1488482197598677
DHL,30823,9437,2,8922.495678688065,0.9454800973495883
DHL,30823,9437,3,9100.114365298643,0.9643016176007887
DHL,30823,9437,4,9372.869679439169,0.9932043742120557
DHL,30823,9437,5,9760.747608531641,1.0343061999079837
DHL,30823,9437,6,10192.119285049352,1.080016878780264
DHL,30826,8281,2,7884.778458452964,0.9521529354489752
DHL,30826,8281,3,8042.978390161787,0.9712569001523713
DHL,30826,8281,4,8407.330784282643,1.0152554986454103
DHL,30826,8281,5,8837.460491478787,1.067197257756163
DHL,30826,8281,6,9274.347761713358,1.119955049114039
DHL,30827,8048,2,7669.8155741429455,0.9530088934074237
DHL,30827,8048,3,7822.962657004235,0.9720381035045024
DHL,30827,8048,4,7996.077699683064,0.9935484219288101
DHL,30827,8048,5,8157.43247388171,1.0135974743888805
DHL,30827,8048,6,8484.780198320623,1.0542718934295008
DHL,30851,6654,2,6651.505770089609,0.9996251533047202
DHL,30851,6654,3,6692.900858604466,1.0058462366402865
DHL,30851,6654,4,6743.607404932818,1.0134666974651063
DHL,30851,6654,5,6811.879421855096,1.0237269945679435
DHL,30851,6654,6,7071.466064386362,1.0627391139745057
