init_cost_eur,bal_cost_eur,penalty,share_willing,delta_pct,fleet_red_pct,saving_bal_pct,wait_bal
1742461.8801968098,1770220.941126246,0.75,0.5,1.5930943020860158,5.875576036866359,7.306033381433818,0.18737092249676068
1738156.892699232,1762435.9493822549,0.75,0.6,1.3968276848310937,7.945516458569807,7.7136784092822746,0.1859809890246187
1739736.0470126625,1758492.578371504,0.75,0.7,1.078125120822139,9.333333333333334,7.920164894863333,0.16566070000712516
1741362.8823901187,1754162.4358991664,0.75,0.8,0.7350307990646735,5.62429696287964,8.146903869902879,0.14592190299758007
1736731.9435025447,1751068.796725819,0.75,0.9,0.825507544610509,6.043956043956044,8.308895901294012,0.14071591997656613
1705855.966252953,1714467.2800550887,0.75,1.0,0.5048089623329144,7.168458781362007,10.225458792199051,0.13851332272476574
1909747.7491827162,1909747.7491827162,1.0,0.0,0.0,0.0,0.0,0.0
1754030.2992033835,1773936.7053397417,1.0,0.1,1.134895226462104,3.367003367003367,7.11146505610992,0.3226886121512961
1762046.7776723646,1787996.2104438897,1.0,0.2,1.4726869400030285,3.522727272727273,6.375268084014265,0.2359817807087684
1762955.8745657247,1794468.4888224395,1.0,0.3,1.7874874074472975,4.109589041095891,6.036360582679623,0.1870659921517711
1758760.2319084909,1787792.175015992,1.0,0.4,1.6507050012154063,6.349206349206349,6.385951978156046,0.17086364823889857
1768106.537018243,1791926.2583236692,1.0,0.5,1.3471881250773545,6.447963800904978,6.16947923669339,0.14549399771467175
1777721.0292897094,1797340.0805808208,1.0,0.6,1.1036068633867828,6.6441441441441444,5.88599560596423,0.12123917042056899
1785245.1270641633,1802469.6054636398,1.0,0.7,0.9648242775378509,9.051254089422029,5.617398620576277,0.10212144962645701
1795385.1806572499,1805170.1451740144,1.0,0.8,0.5450064210278517,8.820403825717323,5.475990431377978,0.07909887871134931
1784866.8538296,1798808.56092065,1.0,0.9,0.781106280344483,12.448979591836734,5.809101663271664,0.08812500164934198
1758243.8262340704,1766013.6276212083,1.0,1.0,0.4419069341355158,6.976744186046512,7.526340671066086,0.0912619181451368
1909747.7491827162,1909747.7491827162,2.0,0.0,0.0,0.0,0.0,0.0
1776323.0072469404,1792004.0535738156,2.0,0.1,0.882781243214246,1.8140589569160999,6.165405648954921,0.24736989330736608
1788573.6053309138,1815390.0280465898,2.0,0.2,1.4993189341354818,3.3936651583710407,4.940847354133926,0.1697093727486482
1796536.933649155,1823209.4850540883,2.0,0.3,1.4846647962174366,1.6147635524798154,4.531397623883172,0.13013176263198034
1817744.5709994046,1836262.5880226735,2.0,0.4,1.0187359279575545,2.0689655172413794,3.8478988228414455,0.08127891296488352
1851153.1330126307,1863621.5029362515,2.0,0.5,0.6735461103279586,1.6055045871559632,2.4153057002530667,0.040884152858375614
1863340.5498270344,1876869.285759817,2.0,0.6,0.7260474170456158,1.3590033975084939,1.7216128903395538,0.028066390632793134
1870970.3529174582,1884578.876297877,2.0,0.7,0.727351096675509,1.3468013468013469,1.317916091044507,0.020295087072061728
1887404.2726810663,1894962.307509269,2.0,0.8,0.4004459954658562,0.45045045045045046,0.7742091425307154,0.01042146625182417
1892689.7094036972,1896917.6532295588,2.0,0.9,0.2233828294651483,0.78125,0.6718214988680098,0.00833986472756829
1882243.6286827144,1886240.311406513,2.0,1.0,0.21233610053952628,2.3516237402015676,1.2309184700578055,0.010894497531264924
1909747.7491827162,1909747.7491827162,5.0,0.0,0.0,0.0,0.0,0.0
1817985.3487361385,1826366.6368469067,5.0,0.1,0.46102066315302553,0.5617977528089888,4.366079885235774,0.16216013659190529
1842376.0766609828,1857034.6318358453,5.0,0.2,0.7956331696093681,0.9070294784580499,2.7602136129983514,0.08905668194617075
1889386.1281230599,1894315.0092975704,5.0,0.3,0.26087209497017905,0.7909604519774012,0.8081035776452832,0.016636714616336663
1909747.7491827162,1909747.7491827162,5.0,0.4,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,5.0,0.5,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,5.0,0.6,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,5.0,0.7,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,5.0,0.8,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,5.0,0.9,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,5.0,1.0,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,10.0,0.0,0.0,0.0,0.0,0.0
1837079.9968836044,1841322.6229931957,10.0,0.1,0.23094400444119734,0.671892497200448,3.582940533314066,0.1253839008389213
1892191.4254737133,1894638.5644459073,10.0,0.2,0.12932829835550538,0.11235955056179775,0.7911612799792552,0.017230477728605392
1909747.7491827162,1909747.7491827162,10.0,0.3,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,10.0,0.4,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,10.0,0.5,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,10.0,0.6,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,10.0,0.7,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,10.0,0.8,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,10.0,0.9,0.0,0.0,0.0,0.0
1909747.7491827162,1909747.7491827162,10.0,1.0,0.0,0.0,0.0,0.0
