penalty,share_willing,consolidated_eur,conventional_eur,total_eur,baseline_eur,conventional_pct_of_total,saving_pct
1.0,0.2,372973.74036229425,1415022.470081594,1787996.2104438883,1909747.749182716,79.14012690945806,6.375268084014327
2.0,0.2,385701.71727088606,1429688.3107757017,1815390.0280465877,1909747.749182716,78.7537823105753,4.940847354134024
5.0,0.2,400915.3479845795,1456119.2838512664,1857034.6318358458,1909747.749182716,78.41099239015061,2.760213612998315
10.0,0.2,402063.0916097912,1492575.472836115,1894638.564445906,1909747.749182716,78.77890278627493,0.7911612799793041
0.0,0.3,507367.6390681633,1229629.7406737918,1736997.379741955,1909747.749182716,70.79053515074752,9.045716614390047
0.25,0.3,519523.09440391127,1229995.9980979473,1749519.0925018587,1909747.749182716,70.30480566742604,8.390042965068437
0.5,0.3,534768.5141697287,1231664.6788926374,1766433.193062366,1909747.749182716,69.72608325805798,7.504370992539829
0.75,0.3,541769.0762897119,1237692.9623694872,1779462.0386591991,1909747.749182716,69.55433358398993,6.82214237871327
1.0,0.3,551751.1034081777,1242717.3854142628,1794468.4888224406,1909747.749182716,69.25267248519667,6.03636058267955
2.0,0.3,568580.7093315404,1254628.7757225498,1823209.4850540902,1909747.749182716,68.81429621815114,4.531397623883063
5.0,0.3,591483.6433635873,1302831.3659339843,1894315.0092975716,1909747.749182716,68.77585615589275,0.8081035776452101
10.0,0.3,592839.3522336691,1316908.3969490477,1909747.749182717,1909747.749182716,68.95719068199574,-4.876678477636859e-14
0.0,0.4,664275.2997391046,1055645.2824535521,1719920.5821926566,1909747.749182716,61.37755971893499,9.939907879001124
0.25,0.4,682176.4094579129,1050253.1606252377,1732429.5700831506,1909747.749182716,60.62313751518506,9.28490054120757
0.5,0.4,697891.8377218745,1053566.2389482856,1751458.07667016,1909747.749182716,60.1536658503015,8.288512060312502
0.75,0.4,716115.629519225,1061073.49138171,1777189.120900935,1909747.749182716,59.70515343036791,6.941159026814403
1.0,0.4,723889.478705282,1063902.6963107095,1787792.1750159916,1909747.749182716,59.50930489452405,6.385951978156059
2.0,0.4,752702.5183513997,1083560.069671273,1836262.5880226726,1909747.749182716,59.00899341624522,3.8478988228414828
5.0,0.4,781904.5403291975,1127843.2088535174,1909747.749182715,1909747.749182716,59.05718225541477,4.876678477636859e-14
10.0,0.4,781904.5403291975,1127843.2088535174,1909747.749182715,1909747.749182716,59.05718225541477,4.876678477636859e-14
0.0,0.5,810295.6974976177,882537.4012675389,1692833.0987651567,1909747.749182716,52.13375151462416,11.35828805193716
0.25,0.5,845423.0764128193,879558.4609293729,1724981.5373421921,1909747.749182716,50.98944202525056,9.674901406198556
0.5,0.5,865138.4520250463,882522.5334239982,1747660.9854490445,1909747.749182716,50.49735279163668,8.487338906566963
0.75,0.5,883781.7426195354,886439.1985067113,1770220.9411262467,1909747.749182716,50.07506000594155,7.30603338143377
1.0,0.5,900285.4621244181,891640.7961992514,1791926.2583236694,1909747.749182716,49.7587884578115,6.169479236693367
2.0,0.5,943652.5603216548,919968.9426145963,1863621.502936251,1909747.749182716,49.36458079954156,2.415305700253079
5.0,0.5,970378.2549838267,939369.4941988906,1909747.7491827174,1909747.749182716,49.18814511502353,-7.315017716455288e-14
10.0,0.5,970378.2549838267,939369.4941988906,1909747.7491827174,1909747.749182716,49.18814511502353,-7.315017716455288e-14
0.0,0.6,951002.1062005754,714697.5152030492,1665699.6214036245,1909747.749182716,42.90674657179783,12.779076602317392
0.25,0.6,997079.5521970835,705744.9570853004,1702824.5092823838,1909747.749182716,41.445548454239734,10.835108458113684
0.5,0.6,1024664.3457387995,708740.9370980522,1733405.2828368517,1909747.749182716,40.88720301683533,9.233809356305343
0.75,0.6,1049325.960776397,713109.9886058583,1762435.9493822553,1909747.749182716,40.461611603860426,7.713678409282239
1.0,0.6,1076891.733603298,720448.3469775256,1797340.0805808236,1909747.749182716,40.08414182499661,5.885995605964071
2.0,0.6,1133109.867252118,743759.4185077018,1876869.2857598197,1909747.749182716,39.627662094038854,1.7216128903394077
5.0,0.6,1158539.2437318116,751208.5054509073,1909747.7491827188,1909747.749182716,39.33548322140392,-1.4630035432910577e-13
10.0,0.6,1158539.2437318116,751208.5054509073,1909747.7491827188,1909747.749182716,39.33548322140392,-1.4630035432910577e-13
0.0,0.7,1084941.3098016093,549345.0412485518,1634286.351050161,1909747.749182716,33.613756909586456,14.423967681095043
0.25,0.7,1148164.8591330734,534819.5091523268,1682984.3682854003,1909747.749182716,31.778043767405464,11.873996500027815
0.5,0.7,1185414.5762894559,536989.0050449419,1722403.5813343977,1909747.749182716,31.17672367058831,9.809890752770519
0.75,0.7,1219283.6542450553,539208.9241264493,1758492.5783715046,1909747.749182716,30.663133342638105,7.920164894863299
1.0,0.7,1253905.3156602574,548564.2898033826,1802469.6054636398,1909747.749182716,30.434038285060474,5.6173986205762665
2.0,0.7,1320896.3584233583,563682.5178745169,1884578.8762978753,1909747.749182716,29.910264036378894,1.3179160910445802
5.0,0.7,1346506.5160872827,563241.2330954333,1909747.749182716,1909747.749182716,29.492964886932036,0.0
10.0,0.7,1346506.5160872827,563241.2330954333,1909747.749182716,1909747.749182716,29.492964886932036,0.0
