threshold_pct,feature,raumtyp_3,label,n_samples,break_even_value,be_median_boot,be_ci95_lo,be_ci95_hi,min_feature,max_feature,median_feature
0.0,baseline_routes,ALL,Baseline routes per week,312,,,,,6.0,145.0,14.0
0.0,baseline_routes,urban,Baseline routes per week,46,,6.2843144746518815,6.006384816012471,7.406322145971721,6.0,57.0,13.5
0.0,baseline_routes,suburban,Baseline routes per week,141,,77.06025291537463,76.21249976022389,79.1382507484761,6.0,145.0,14.0
0.0,baseline_routes,rural,Baseline routes per week,125,,,,,6.0,88.0,14.0
0.0,parcels_per_route_baseline,ALL,Parcels per route (baseline),312,,,,,102.0,226.51724137931035,177.53361344537814
0.0,parcels_per_route_baseline,urban,Parcels per route (baseline),46,,,,,136.0,221.6315789473684,182.2403846153846
0.0,parcels_per_route_baseline,suburban,Parcels per route (baseline),141,,,,,102.0,226.51724137931035,177.71428571428572
0.0,parcels_per_route_baseline,rural,Parcels per route (baseline),125,,,,,103.0,221.67816091954023,175.83333333333334
0.0,b2c_share,ALL,B2C-share of parcels,312,,,,,0.7,0.7,0.7
0.0,b2c_share,urban,B2C-share of parcels,46,,,,,0.7,0.7,0.7
0.0,b2c_share,suburban,B2C-share of parcels,141,,,,,0.7,0.7,0.7
0.0,b2c_share,rural,B2C-share of parcels,125,,,,,0.7,0.7,0.7
10.0,weekly_parcels,ALL,Weekly parcels per cluster (sum across days),312,8247.262621667567,8227.66714039537,6776.178329545803,11105.36072883248,612.0,32845.0,2474.5
10.0,weekly_parcels,urban,Weekly parcels per cluster (sum across days),46,1265.6906912020133,1301.5729629205146,1194.3397319776902,4289.790046618945,1169.0,12633.0,2470.0
10.0,weekly_parcels,suburban,Weekly parcels per cluster (sum across days),141,7421.25398266479,7227.398418449922,831.452923441239,8684.194312872607,612.0,32845.0,2488.0
10.0,weekly_parcels,rural,Weekly parcels per cluster (sum across days),125,,16371.494134294335,8537.645959600295,18611.105540596018,618.0,19286.0,2471.0
10.0,area_km2,ALL,Cluster area  [km²],312,,2.437861905573939,1.8894668349688821,4.249018346376595,1.7979843382791898,357.6158854957556,19.21423828970633
10.0,area_km2,urban,Cluster area  [km²],46,1.9114108636230471,1.9482251325496935,1.809720066483703,6.3184687986932015,1.7979843382791898,12.113461405690837,4.343746915001259
10.0,area_km2,suburban,Cluster area  [km²],141,,11.085016827858862,2.629220325870885,71.40417521968718,2.603733329707664,129.47251256919432,9.157258958740025
10.0,area_km2,rural,Cluster area  [km²],125,,13.739217135541336,10.696330663951855,229.8569908225681,10.610683695060027,357.6158854957556,101.18549289373648
10.0,demand_per_area,ALL,Demand density  [parcels/km²/week],312,448.28547095670444,426.36363015254153,83.79037684888235,633.3437729492979,0.8073270641474845,1965.186970261905,24.509964047038327
10.0,demand_per_area,urban,Demand density  [parcels/km²/week],46,442.8218160966251,257.14739677277964,31.339209095222145,628.5414111937964,26.783455582103898,1965.186970261905,184.46503891682545
10.0,demand_per_area,suburban,Demand density  [parcels/km²/week],141,112.0972720344795,106.86776280086319,74.24824214811854,451.05321197625705,2.745756554388401,671.0876699226017,33.14310552617151
10.0,demand_per_area,rural,Demand density  [parcels/km²/week],125,45.241461355435625,45.262567069968114,32.36660658447654,63.92955762665373,0.8073270641474845,126.4134689037816,5.07528485774918
10.0,hub_dist_km,ALL,Distance to hub  [km],312,1.8427689029916374,2.131961162104936,0.6868512922676446,3.552426704274681,0.37,40.99,12.39
10.0,hub_dist_km,urban,Distance to hub  [km],46,5.203243655358985,5.169176546625055,3.1217230666492015,9.641133902413833,1.04,17.09,11.08
10.0,hub_dist_km,suburban,Distance to hub  [km],141,,2.5970434121692723,1.3612258091211393,5.614685715829932,1.29,30.8,10.86
10.0,hub_dist_km,rural,Distance to hub  [km],125,,1.2301093668837781,0.4159022524359173,2.6253831275458404,0.37,40.99,17.56
10.0,baseline_routes,ALL,Baseline routes per week,312,40.217007766092145,39.57255492532242,6.155869650923305,63.41566384514429,6.0,145.0,14.0
10.0,baseline_routes,urban,Baseline routes per week,46,8.040385107049975,8.124772373946357,6.996514681734737,20.159687658851116,6.0,57.0,13.5
10.0,baseline_routes,suburban,Baseline routes per week,141,35.69913251971009,32.69360247294014,6.04889521692412,40.58403650911935,6.0,145.0,14.0
10.0,baseline_routes,rural,Baseline routes per week,125,,75.21644798199931,31.423281771316454,85.06190076100529,6.0,88.0,14.0
10.0,parcels_per_route_baseline,ALL,Parcels per route (baseline),312,209.23852171432407,209.3962787004111,204.65056421059495,212.67023432522686,102.0,226.51724137931035,177.53361344537814
10.0,parcels_per_route_baseline,urban,Parcels per route (baseline),46,187.55334733549952,181.01119154489805,162.54598983112223,192.85728037810932,136.0,221.6315789473684,182.2403846153846
10.0,parcels_per_route_baseline,suburban,Parcels per route (baseline),141,208.84128938654024,208.7473044135123,204.56478640044807,211.57016235337196,102.0,226.51724137931035,177.71428571428572
10.0,parcels_per_route_baseline,rural,Parcels per route (baseline),125,,217.8126904591782,210.78762783858892,221.39939102346307,103.0,221.67816091954023,175.83333333333334
10.0,b2c_share,ALL,B2C-share of parcels,312,,,,,0.7,0.7,0.7
10.0,b2c_share,urban,B2C-share of parcels,46,,,,,0.7,0.7,0.7
10.0,b2c_share,suburban,B2C-share of parcels,141,,,,,0.7,0.7,0.7
10.0,b2c_share,rural,B2C-share of parcels,125,,,,,0.7,0.7,0.7
20.0,weekly_parcels,ALL,Weekly parcels per cluster (sum across days),312,626.4542437827074,1232.8342408684134,657.590583893556,2005.6354286909886,612.0,32845.0,2474.5
20.0,weekly_parcels,urban,Weekly parcels per cluster (sum across days),46,1587.8051743960102,1544.3942234552876,1397.1141318460159,1705.842923161853,1169.0,12633.0,2470.0
20.0,weekly_parcels,suburban,Weekly parcels per cluster (sum across days),141,1651.7199244919352,1517.8698130555986,648.1796354049649,1841.2218815004353,612.0,32845.0,2488.0
20.0,weekly_parcels,rural,Weekly parcels per cluster (sum across days),125,3096.206655255686,3019.6422384004345,861.2516453167406,4356.412189740833,618.0,19286.0,2471.0
20.0,area_km2,ALL,Cluster area  [km²],312,88.60267644213978,85.39689230857178,48.29763652627188,113.46921961156956,1.7979843382791898,357.6158854957556,19.21423828970633
20.0,area_km2,urban,Cluster area  [km²],46,,2.160014569633548,1.8024429347664566,7.0584583055796015,1.7979843382791898,12.113461405690837,4.343746915001259
20.0,area_km2,suburban,Cluster area  [km²],141,123.98671417562403,110.70890020150274,23.259536627273345,128.54151210184818,2.603733329707664,129.47251256919432,9.157258958740025
20.0,area_km2,rural,Cluster area  [km²],125,52.789745104027,52.66746569416016,30.915060646930474,105.49022495911646,10.610683695060027,357.6158854957556,101.18549289373648
20.0,demand_per_area,ALL,Demand density  [parcels/km²/week],312,22.343354762748362,21.080215138566572,10.97655445404629,25.10042377995364,0.8073270641474845,1965.186970261905,24.509964047038327
20.0,demand_per_area,urban,Demand density  [parcels/km²/week],46,,169.7574094500027,67.92129538676451,202.7914043979437,26.783455582103898,1965.186970261905,184.46503891682545
20.0,demand_per_area,suburban,Demand density  [parcels/km²/week],141,9.349886134329967,9.692344499076142,4.451213488815658,15.15852799781082,2.745756554388401,671.0876699226017,33.14310552617151
20.0,demand_per_area,rural,Demand density  [parcels/km²/week],125,7.580156133208766,7.455199457882726,4.631064419346343,9.493405352633271,0.8073270641474845,126.4134689037816,5.07528485774918
