penalty_eur_per_day,provider,plz,schedule_size,base_cost_eur,wait_days_avg,weekly_parcels,penalty_cost_eur,combined_cost_eur
0.0,FedEx,31303,2,3399.829813991711,0.9662107803700724,1243,0.0,3399.829813991711
0.0,FedEx,31311,4,2786.424356332287,0.36444444444444446,675,0.0,2786.424356332287
0.0,FedEx,31319,2,2722.6772629564425,0.9241011984021305,751,0.0,2722.6772629564425
0.0,FedEx,31515,4,4672.2386512310095,0.3228410008071025,2478,0.0,4672.2386512310095
0.0,FedEx,31535,2,4708.827192407938,0.9760598503740648,2005,0.0,4708.827192407938
0.0,FedEx,31832,3,3629.5153612866643,0.44569288389513106,1068,0.0,3629.5153612866643
0.0,GLS,30159,5,4591.687653122265,0.1437575030012005,3332,0.0,4591.687653122265
0.0,GLS,30161,3,2867.2752935896756,0.7089144936325046,1649,0.0,2867.2752935896756
0.0,GLS,30163,3,4398.3633070623255,0.5619421635130311,2801,0.0,4398.3633070623255
0.0,GLS,30165,5,2343.1723963628815,0.18483063328424154,1358,0.0,2343.1723963628815
0.0,GLS,30167,4,3407.9715542022172,0.400093153237075,2147,0.0,3407.9715542022172
0.0,GLS,30173,4,2388.423417742376,0.29775280898876405,1424,0.0,2388.423417742376
0.0,GLS,30179,6,2030.2594095239801,0.0,1034,0.0,2030.2594095239801
0.0,GLS,30419,3,4645.414724953769,0.4871990829193733,2617,0.0,4645.414724953769
0.0,GLS,30449,3,3218.414836597238,0.6335184250378597,1981,0.0,3218.414836597238
0.0,GLS,30453,3,2909.939772158523,0.57319737800437,1373,0.0,2909.939772158523
0.0,GLS,30455,4,2530.9740100198246,0.5720233139050791,1201,0.0,2530.9740100198246
0.0,GLS,30457,5,2372.991010389012,0.2043734230445753,1189,0.0,2372.991010389012
0.0,GLS,30459,6,1876.236727895414,0.0,1169,0.0,1876.236727895414
0.0,GLS,30519,3,3310.791338155308,0.6521113243761996,2084,0.0,3310.791338155308
0.0,GLS,30539,4,2390.3689021890423,0.5450381679389313,1310,0.0,2390.3689021890423
0.0,GLS,30559,3,3448.701002967173,0.653921568627451,2040,0.0,3448.701002967173
0.0,GLS,30625,5,2155.839376448783,0.19071729957805908,1185,0.0,2155.839376448783
0.0,GLS,30627,5,1750.9749966977688,0.14082687338501293,774,0.0,1750.9749966977688
0.0,GLS,30629,6,2094.2697610443015,0.0,1080,0.0,2094.2697610443015
0.0,GLS,30655,3,2790.418109743314,0.5784526391901663,1383,0.0,2790.418109743314
0.0,GLS,30657,5,2755.6441019207437,0.18566037735849056,1325,0.0,2755.6441019207437
0.0,GLS,30659,6,2165.5626302364476,0.0,1138,0.0,2165.5626302364476
0.0,GLS,30823,3,3592.3265106522676,0.6289270895080024,1687,0.0,3592.3265106522676
0.0,GLS,30826,2,3722.7623983349945,0.9364864864864865,1480,0.0,3722.7623983349945
0.0,GLS,30827,5,2962.5236698673675,0.18181818181818182,1331,0.0,2962.5236698673675
0.0,GLS,30851,6,2097.4205946859483,0.0,1137,0.0,2097.4205946859483
0.0,GLS,30853,6,2190.0844891648285,0.0,1083,0.0,2190.0844891648285
0.0,GLS,30855,4,7532.102407616757,0.5515554685971434,5111,0.0,7532.102407616757
0.0,GLS,30880,3,4003.604527343443,0.6596958174904943,2630,0.0,4003.604527343443
0.0,GLS,30890,2,5190.296936689365,0.971266693646297,2471,0.0,5190.296936689365
0.0,GLS,30900,2,5820.420700227488,0.9384800965018094,2487,0.0,5820.420700227488
0.0,GLS,30916,5,4532.7930810644,0.11291739894551846,2276,0.0,4532.7930810644
0.0,GLS,30926,3,4789.234853800005,0.6687319289549772,2421,0.0,4789.234853800005
0.0,GLS,30938,2,4379.771012724125,0.9300587293112653,1873,0.0,4379.771012724125
0.0,GLS,30952,3,3509.9359156884534,0.6292397660818714,1710,0.0,3509.9359156884534
0.0,GLS,30966,2,3046.614064218707,0.932674490426189,1619,0.0,3046.614064218707
0.0,GLS,30974,4,2869.055043091789,0.3964285714285714,1120,0.0,2869.055043091789
0.0,GLS,30982,5,2672.3930166718214,0.17157712305025996,1154,0.0,2672.3930166718214
0.0,GLS,30989,6,2798.376100761728,0.0,1172,0.0,2798.376100761728
0.0,GLS,31275,2,5757.747502835418,0.9265571738456772,3227,0.0,5757.747502835418
0.0,GLS,31303,2,4749.913251603552,0.9198369565217391,2208,0.0,4749.913251603552
0.0,GLS,31311,2,4196.944226928347,0.8867161159811193,1483,0.0,4196.944226928347
0.0,GLS,31319,3,3896.777543455683,0.6518891687657431,1985,0.0,3896.777543455683
0.0,GLS,31515,2,6756.063593264094,0.9238733252131547,3284,0.0,6756.063593264094
0.0,GLS,31535,2,7718.071234383441,0.9711806631546328,3227,0.0,7718.071234383441
0.0,GLS,31832,2,4696.456768827997,0.9821169647172547,2069,0.0,4696.456768827997
0.0,Hermes,30159,4,5617.098364216317,0.3714868540344515,4412,0.0,5617.098364216317
0.0,Hermes,30161,4,3104.068878811071,0.3996342021033379,2187,0.0,3104.068878811071
0.0,Hermes,30163,5,3104.0163205737454,0.15012942191544434,2318,0.0,3104.0163205737454
0.0,Hermes,30165,3,2964.8931615184897,0.5715042372881356,1888,0.0,2964.8931615184897
0.0,Hermes,30167,3,3969.3442032294274,0.567854694996573,2918,0.0,3969.3442032294274
0.0,Hermes,30173,3,3216.598516948733,0.6548940464177598,1982,0.0,3216.598516948733
0.0,Hermes,30177,2,2747.8378076974464,0.912718204488778,1604,0.0,2747.8378076974464
0.0,Hermes,30179,2,2767.0604358730666,0.9249329758713136,1492,0.0,2767.0604358730666
