provider,cluster_id,raumtyp_3,raumtyp_8,raumtyp_8_name,baseline_routes,baseline_distance_km,baseline_parcels,baseline_cost_eur,saml_routes,saml_distance_km,saml_parcels,saml_cost_eur,fixed_routes,fixed_distance_km,fixed_parcels,fixed_cost_eur,actual_saving_abs,avg_demand,area_km2,hub_dist_km,actual_saving_pct,actual_fixed_saving_pct,routes_delta_pct,distance_delta_pct,weekly_parcels,demand_per_area,parcels_per_route_baseline,parcels_per_route_saml,baseline_eur_per_parcel,saml_eur_per_parcel,fixed_eur_per_parcel,baseline_eur_per_km,b2c_share
DPD,30890,rural,8,Umland dörflich ohne gewerblichen Einfluss,17,2253.62,2726,6652.2,13,1625.7,2726,4791.24,14,1617.25,2726,4753.9,1860.96,454.3333333333333,102.53407734275534,32.64,27.97510597997655,28.53642404016717,-23.529411764705884,-27.862727522829932,2726,26.586283025568267,160.35294117647058,209.69230769230768,2.440278796771827,1.7576082171680116,1.743910491562729,2.9517842404664494,0.7
DPD,30900,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,17,1838.2,2839,6690.96,14,1168.0,2839,4541.01,14,1168.0,2839,4541.01,2149.95,473.1666666666667,173.55971997363926,25.52,32.132160407475155,32.132160407475155,-17.647058823529413,-36.45958002393646,2839,16.357482026539312,167.0,202.78571428571428,2.356801690736175,1.5995103909827404,1.5995103909827404,3.6399521270808397,0.7
DPD,30916,suburban,6,Umland Verstädtert,17,987.63,2914,5395.9,15,651.34,2914,4024.75,15,651.34,2914,4024.75,1371.1499999999996,485.6666666666667,59.876286869182046,10.68,25.410960173465035,25.410960173465035,-11.764705882352942,-34.050200986199286,2914,48.667012474679986,171.41176470588235,194.26666666666668,1.8517158544955385,1.3811770761839397,1.3811770761839397,5.463483288275974,0.7
DPD,30926,rural,8,Umland dörflich ohne gewerblichen Einfluss,15,1462.57,2637,5355.48,14,1136.06,2637,4229.26,14,1119.28,2637,4240.33,1126.2199999999991,439.5,53.8021301528445,25.600000000000005,21.029300828310433,20.82259666733887,-6.666666666666667,-22.32440156710448,2637,49.012929274522094,175.8,188.35714285714286,2.0308987485779295,1.6038149412210847,1.6080128934395146,3.6616914062232917,0.7
DPD,30938,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,13,1111.04,2412,4635.55,13,760.48,2412,3690.55,12,699.7099999999999,2412,3424.53,945.0,402.0,153.22446344831192,17.56,20.38593047211226,26.124623831044858,0.0,-31.552419354838705,2412,15.74161165729031,185.53846153846155,185.53846153846155,1.921869817578773,1.5300787728026535,1.4197885572139304,4.172262024769585,0.7
DPD,30952,suburban,4,Städtisch mit Verdichtungsansätzen,12,1013.53,1895,4355.11,10,707.31,1895,3128.68,10,707.31,1895,3128.68,1226.4299999999998,315.8333333333333,37.755537878390655,21.73,28.16071235858566,28.16071235858566,-16.666666666666668,-30.21321519836611,1895,50.19131249311644,157.91666666666666,189.5,2.298211081794195,1.651018469656992,1.651018469656992,4.296971969255966,0.7
DPD,30966,rural,8,Umland dörflich ohne gewerblichen Einfluss,12,871.79,1807,3968.1,9,555.53,1807,2666.86,10,587.79,1807,2916.62,1301.2399999999998,301.1666666666667,31.83238567652256,17.93,32.79252034978956,26.49832413497644,-25.0,-36.277085077828374,1807,56.766087793813156,150.58333333333334,200.77777777777777,2.1959601549529606,1.4758494742667405,1.6140675152185944,4.551669553447504,0.7
DPD,30974,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,9,967.03,1280,3447.68,8,703.68,1280,2654.02,8,703.79,1280,2658.54,793.6599999999999,213.3333333333333,53.82702268136371,28.84,23.020117876369035,22.88901522183033,-11.11111111111111,-27.232867646298466,1280,23.779877396844554,142.22222222222223,160.0,2.6935,2.073453125,2.076984375,3.5652254842145537,0.7
DPD,30982,rural,8,Umland dörflich ohne gewerblichen Einfluss,10,849.72,1278,3467.78,8,570.9,1278,2414.68,8,570.9,1278,2414.68,1053.1000000000004,213.0,66.6831619829418,20.59,30.368131773065194,30.368131773065194,-20.0,-32.8131619827708,1278,19.16525794513051,127.8,159.75,2.7134428794992176,1.8894209702660405,1.8894209702660405,4.081085534058278,0.7
DPD,30989,rural,8,Umland dörflich ohne gewerblichen Einfluss,10,970.9,1356,3619.61,8,651.28,1356,2595.13,8,651.28,1356,2595.13,1024.48,226.0,43.13135688268341,25.63,28.303601769251383,28.303601769251383,-20.0,-32.91997116077866,1356,31.438843987410316,135.6,169.5,2.669328908554572,1.913812684365782,1.913812684365782,3.7280976413636835,0.7
