window,share_willing,provider,plz,weekly_parcels,schedule_size_batched,schedule_idx,schedule_weekdays,cost_eur_batched,avg_wait_d_batched
1,1.0,Amazon,30880,6971,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",10601.508768727488,0.0
1,1.0,Amazon,30890,6502,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",10240.491837935719,0.0
1,1.0,Amazon,30900,6667,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",11718.74700978894,0.0
1,1.0,Amazon,30916,6164,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",9823.676554535887,0.0
1,1.0,Amazon,30926,6338,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8870.288162395613,0.0
1,1.0,Amazon,30938,5072,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",9306.773031141476,0.0
1,1.0,Amazon,30952,4476,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7309.755575201898,0.0
1,1.0,Amazon,30966,4221,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7263.839160454139,0.0
1,1.0,Amazon,30974,2971,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5829.368291974992,0.0
1,1.0,Amazon,30982,3044,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6278.527812858761,0.0
1,1.0,Amazon,30989,3112,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5854.258844909036,0.0
1,1.0,Amazon,31275,8588,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",14482.126043506063,0.0
1,1.0,Amazon,31303,5793,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",10933.216476634932,0.0
1,1.0,Amazon,31311,3965,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",9134.037721778868,0.0
1,1.0,Amazon,31319,5228,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",9480.26145110921,0.0
1,1.0,Amazon,31515,8733,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",12346.473492728743,0.0
1,1.0,Amazon,31535,8625,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",15248.357695275803,0.0
1,1.0,Amazon,31832,5466,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",10830.277904636872,0.0
1,1.0,DPD,30159,4783,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6884.7730812382,0.0
1,1.0,DPD,30161,2359,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3517.386900209484,0.0
1,1.0,DPD,30163,2106,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3284.7795424275214,0.0
1,1.0,DPD,30165,1757,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3113.2806212949404,0.0
1,1.0,DPD,30167,2824,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4702.158250344415,0.0
1,1.0,DPD,30173,1708,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3067.398979624784,0.0
1,1.0,DPD,30177,1250,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2243.0523538611847,0.0
1,1.0,DPD,30179,1256,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2491.0207845796485,0.0
1,1.0,DPD,30419,2858,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5653.481327379001,0.0
1,1.0,DPD,30449,2554,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4334.009227270418,0.0
1,1.0,DPD,30453,1619,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3822.385263933613,0.0
1,1.0,DPD,30455,1318,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3454.6889942781377,0.0
1,1.0,DPD,30457,1335,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3214.6180928981416,0.0
1,1.0,DPD,30459,1284,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2865.0596124425024,0.0
1,1.0,DPD,30519,2540,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4889.173766205452,0.0
1,1.0,DPD,30539,1695,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3748.6802123008792,0.0
1,1.0,DPD,30559,2467,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4588.10857222374,0.0
1,1.0,DPD,30625,1405,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3062.682559912947,0.0
1,1.0,DPD,30627,971,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",1716.7027566722854,0.0
1,1.0,DPD,30629,1173,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2621.376630940241,0.0
1,1.0,DPD,30655,1537,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3348.3840152358007,0.0
1,1.0,DPD,30657,1866,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3661.875776703266,0.0
1,1.0,DPD,30659,1368,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3093.0080147454555,0.0
1,1.0,DPD,30823,1867,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4478.907290069024,0.0
1,1.0,DPD,30826,1639,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4684.1717281514375,0.0
1,1.0,DPD,30827,1601,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3941.1235021034768,0.0
1,1.0,DPD,30851,1281,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2507.3655325990703,0.0
1,1.0,DPD,30853,1470,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3288.1851596260285,0.0
1,1.0,DPD,30855,6668,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",9420.650636411774,0.0
1,1.0,DPD,30880,3235,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6025.479046667902,0.0
1,1.0,DPD,30890,2726,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7620.252140890944,0.0
1,1.0,DPD,30900,2839,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7731.568813659025,0.0
1,1.0,DPD,30916,2914,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5593.3211099755745,0.0
1,1.0,DPD,30926,2637,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6910.119706859634,0.0
1,1.0,DPD,30938,2412,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5630.651092560194,0.0
1,1.0,DPD,30952,1895,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4804.796031979034,0.0
1,1.0,DPD,30966,1807,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4494.304296866039,0.0
