penalty,share_willing,provider,n_plz,init_cost_eur,balanced_cost_eur,cost_delta_eur,cost_delta_pct,imbalance_before,imbalance_after,imbalance_reduction_pct,max_fleet_before,max_fleet_after,total_routes_before,total_routes_after,swaps_made
0.0,0.5,GLS,46,148283.76337166224,151371.49814974377,3087.7347780815326,2.082314818475678,34.0,9.0,73.52941176470588,90.0,85.0,480.0,488.0,14
0.0,0.5,Hermes,47,194610.6300199683,197729.63075459612,3119.000734627829,1.6026877536482975,42.0,14.0,66.66666666666667,116.0,113.0,628.0,642.0,15
0.0,0.5,UPS,40,157339.48630579055,158815.33405766982,1475.8477518792788,0.9380021420757386,38.0,7.0,81.57894736842105,126.0,109.0,634.0,636.0,6
0.0,0.6,DHL,48,541974.2963269013,546860.4134060524,4886.117079151096,0.9015403705056796,445.0,240.0,46.06741573033708,118.0,109.0,2363.0,2369.0,20
0.0,0.6,Amazon,47,316793.5393272026,325337.54659856466,8544.007271362061,2.697026994145016,87.0,12.0,86.20689655172414,210.0,194.0,1104.0,1126.0,29
0.0,0.6,DPD,47,163819.26890219154,166174.6435534121,2355.374651220569,1.437788525736156,44.0,13.0,70.45454545454545,113.0,102.0,566.0,573.0,11
0.0,0.6,FedEx,37,128883.54461601393,130113.08540552514,1229.5407895112148,0.9539936173965555,41.0,10.0,75.60975609756098,104.0,97.0,547.0,553.0,8
0.0,0.6,GLS,46,145414.10982563603,147891.49532975332,2477.3855041172937,1.7036761474439386,23.0,7.0,69.56521739130434,91.0,87.0,493.0,499.0,11
0.0,0.6,Hermes,47,188715.2551296847,193717.6769691751,5002.4218394904165,2.6507776682138195,39.0,4.0,89.74358974358974,118.0,111.0,637.0,654.0,18
0.0,0.6,UPS,40,154283.92512672668,155604.7601411407,1320.8350144140131,0.8561066963580928,68.0,16.0,76.47058823529412,140.0,116.0,644.0,646.0,7
0.0,0.7,DHL,48,538395.1655982395,543907.8623244874,5512.696726247901,1.0239127463417044,533.0,309.0,42.02626641651032,140.0,113.0,2356.0,2369.0,15
0.0,0.7,Amazon,47,312118.45971944963,317270.42756692256,5151.96784747293,1.6506450314101322,51.0,11.0,78.43137254901961,210.0,191.0,1095.0,1110.0,17
0.0,0.7,DPD,47,158920.18476465376,160048.9582834812,1128.7735188274237,0.7102769987959893,21.0,9.0,57.142857142857146,105.0,102.0,584.0,586.0,4
0.0,0.7,FedEx,37,126640.18565730666,127864.56073462078,1224.3750773141219,0.9668140258632668,40.0,12.0,70.0,117.0,98.0,557.0,560.0,6
0.0,0.7,GLS,46,142089.36251580948,143982.60601127805,1893.243495468574,1.3324315500802697,21.0,7.0,66.66666666666667,92.0,87.0,499.0,502.0,6
0.0,0.7,Hermes,47,183958.74398632417,188104.3737955651,4145.629809240927,2.253564967560944,48.0,3.0,93.75,130.0,112.0,650.0,661.0,17
0.0,0.7,UPS,40,152091.72461850772,153107.56233380805,1015.8377153003239,0.6679112343872448,64.0,21.0,67.1875,149.0,121.0,660.0,662.0,6
0.0,0.8,DHL,48,533324.9783734343,537125.8899518435,3800.9115784092573,0.7126820855084455,686.0,375.0,45.33527696793003,166.0,111.0,2373.0,2375.0,17
0.0,0.8,Amazon,47,301987.02648193703,304976.5224352119,2989.495953274891,0.9899418488607502,87.0,3.0,96.55172413793103,218.0,186.0,1096.0,1105.0,16
0.0,0.8,DPD,47,156072.7975989468,156947.74152749806,874.943928551249,0.5605998880083849,48.0,14.0,70.83333333333333,130.0,109.0,610.0,610.0,6
0.0,0.8,FedEx,37,125561.57431079194,126629.11316984137,1067.5388590494258,0.8502114320477037,56.0,8.0,85.71428571428571,119.0,98.0,565.0,568.0,6
0.0,0.8,GLS,46,139247.08354624134,140427.63917643565,1180.5556301943143,0.847813541317204,30.0,11.0,63.333333333333336,108.0,95.0,538.0,540.0,8
0.0,0.8,Hermes,47,179685.34985751682,183213.43854005463,3528.088682537811,1.9634815444528126,79.0,9.0,88.60759493670886,165.0,118.0,670.0,681.0,21
0.0,0.8,UPS,40,150224.16807734102,151559.78195499576,1335.613877654745,0.8890805619020776,69.0,20.0,71.01449275362319,143.0,121.0,670.0,674.0,7
0.0,0.9,DHL,48,522639.72813519556,526000.8053618685,3361.0772266729036,0.6430963904457462,678.0,445.0,34.365781710914455,211.0,120.0,2356.0,2363.0,10
0.0,0.9,Amazon,47,293917.96924104996,296987.00377738295,3069.034536332998,1.0441806413734442,166.0,15.0,90.96385542168674,306.0,195.0,1130.0,1138.0,18
0.0,0.9,DPD,47,150373.83762463342,151104.3432561007,730.5056314672693,0.4857930362133697,41.0,14.0,65.85365853658537,127.0,114.0,643.0,645.0,7
0.0,0.9,FedEx,37,124306.05123615614,125305.65266266013,999.6014265039848,0.8041454270033451,100.0,15.0,85.0,155.0,104.0,577.0,579.0,6
0.0,0.9,GLS,46,133063.56405216255,134168.82000331656,1105.2559511540167,0.8306225367003869,61.0,12.0,80.32786885245902,128.0,101.0,568.0,571.0,11
0.0,0.9,Hermes,47,173623.34993780247,175369.90055504628,1746.5506172438036,1.0059422409885967,41.0,11.0,73.17073170731707,141.0,124.0,704.0,709.0,8
0.0,0.9,UPS,40,149243.33605398537,150568.55609243744,1325.2200384520693,0.8879592707393656,94.0,19.0,79.7872340425532,175.0,124.0,687.0,689.0,10
0.0,1.0,DHL,48,501374.5408797915,503640.36690672813,2265.8260269366438,0.4519228325715672,812.0,542.0,33.251231527093594,181.0,109.0,2279.0,2284.0,12
0.0,1.0,Amazon,47,276448.48502644215,276996.5351200956,548.0500936534372,0.19824673432412426,85.0,35.0,58.8235294117647,218.0,190.0,1024.0,1026.0,5
0.0,1.0,DPD,47,140240.15179354243,140353.95205791778,113.80026437534252,0.08114670650305345,51.0,19.0,62.745098039215684,103.0,90.0,481.0,481.0,6
0.0,1.0,FedEx,37,119858.77221340522,120459.38909607037,600.6168826651556,0.5011038170787983,57.0,15.0,73.6842105263158,110.0,80.0,434.0,436.0,8
0.0,1.0,GLS,46,123919.15312877127,124474.91955618736,555.7664274160925,0.44849114393040174,35.0,17.0,51.42857142857143,93.0,76.0,411.0,414.0,4
0.0,1.0,Hermes,47,162379.66202045296,163441.33180218443,1061.6697817314707,0.6538194306610549,92.0,19.0,79.34782608695652,149.0,105.0,570.0,574.0,12
0.0,1.0,UPS,40,144190.67345116596,144781.25989525998,590.5864440940204,0.4095871320651251,108.0,17.0,84.25925925925925,151.0,98.0,538.0,540.0,5
0.25,0.0,DHL,48,563775.2206035123,563775.2206035123,0.0,0.0,176.0,176.0,0.0,122.0,122.0,2388.0,2388.0,0
0.25,0.0,Amazon,47,350810.6383067652,350810.6383067652,0.0,0.0,79.0,79.0,0.0,217.0,217.0,1129.0,1129.0,0
0.25,0.0,DPD,47,210178.8252010488,210178.8252010488,0.0,0.0,46.0,46.0,0.0,118.0,118.0,588.0,588.0,0
0.25,0.0,FedEx,37,167748.72604045804,167748.72604045804,0.0,0.0,31.0,31.0,0.0,97.0,97.0,506.0,506.0,0
0.25,0.0,GLS,46,186914.04044994735,186914.04044994735,0.0,0.0,30.0,30.0,0.0,95.0,95.0,492.0,492.0,0
