penalty,share_willing,provider,plz,weekly_parcels,schedule_idx_init,schedule_idx_balanced,schedule_size_init,schedule_size_balanced,weekdays_init,weekdays_balanced,avg_wait_d_init,avg_wait_d_balanced,dd_cost_init,dd_cost_balanced,veh_init,veh_balanced
0.0,0.0,DHL,31303,12605,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,14494.326252546625,14494.326252546625,59.0,59.0
0.0,0.0,DHL,31311,8577,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,10485.698502104207,10485.698502104207,40.0,40.0
0.0,0.0,DHL,31319,10967,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,12204.762656945873,12204.762656945873,51.0,51.0
0.0,0.0,DHL,31515,19286,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,21088.897809861297,21088.897809861297,87.0,87.0
0.0,0.0,DHL,31535,18533,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,22512.716761824166,22512.716761824166,82.0,82.0
0.0,0.0,DHL,31832,11902,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,14457.781202836444,14457.781202836444,55.0,55.0
0.0,0.0,Amazon,30159,9019,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,11555.196270293998,11555.196270293998,43.0,43.0
0.0,0.0,Amazon,30161,4512,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,6224.7449789257325,6224.7449789257325,24.0,24.0
0.0,0.0,Amazon,30163,4469,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5889.0064831046275,5889.0064831046275,23.0,23.0
0.0,0.0,Amazon,30165,3574,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4750.233821598029,4750.233821598029,18.0,18.0
0.0,0.0,Amazon,30167,5730,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,7175.254343343608,7175.254343343608,27.0,27.0
0.0,0.0,Amazon,30173,3759,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5164.654397653723,5164.654397653723,19.0,19.0
0.0,0.0,Amazon,30177,2906,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4343.242376782357,4343.242376782357,16.0,16.0
0.0,0.0,Amazon,30179,2781,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4390.652005410074,4390.652005410074,16.0,16.0
0.0,0.0,Amazon,30419,6859,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8519.368501277868,8519.368501277868,32.0,32.0
0.0,0.0,Amazon,30449,5275,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,7005.60345798299,7005.60345798299,26.0,26.0
0.0,0.0,Amazon,30453,3593,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4970.930164967193,4970.930164967193,18.0,18.0
0.0,0.0,Amazon,30455,3165,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4820.378887430032,4820.378887430032,17.0,17.0
0.0,0.0,Amazon,30457,3134,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4934.7989617734975,4934.7989617734975,17.0,17.0
0.0,0.0,Amazon,30459,3087,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4858.408897775894,4858.408897775894,17.0,17.0
0.0,0.0,Amazon,30519,5508,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8140.269152347262,8140.269152347262,27.0,27.0
0.0,0.0,Amazon,30539,3516,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5821.859629336905,5821.859629336905,17.0,17.0
0.0,0.0,Amazon,30559,5369,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8252.52270516162,8252.52270516162,26.0,26.0
0.0,0.0,Amazon,30625,3180,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4932.584335545381,4932.584335545381,17.0,17.0
0.0,0.0,Amazon,30627,2090,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3472.360903435115,3472.360903435115,12.0,12.0
0.0,0.0,Amazon,30629,2757,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4629.145185289602,4629.145185289602,15.0,15.0
0.0,0.0,Amazon,30655,3642,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5061.237427944449,5061.237427944449,18.0,18.0
0.0,0.0,Amazon,30657,3559,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5227.080664344542,5227.080664344542,18.0,18.0
0.0,0.0,Amazon,30659,3002,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4975.003626465991,4975.003626465991,17.0,17.0
0.0,0.0,Amazon,30823,4370,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5705.037154540299,5705.037154540299,22.0,22.0
0.0,0.0,Amazon,30826,3852,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5673.254342811335,5673.254342811335,20.0,20.0
0.0,0.0,Amazon,30827,3498,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4536.061456785562,4536.061456785562,17.0,17.0
0.0,0.0,Amazon,30851,3032,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4490.007090916008,4490.007090916008,17.0,17.0
0.0,0.0,Amazon,30853,2911,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4319.068900643669,4319.068900643669,15.0,15.0
0.0,0.0,Amazon,30855,13592,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,16244.345238115564,16244.345238115564,62.0,62.0
0.0,0.0,Amazon,30880,6971,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,11278.054808972109,11278.054808972109,33.0,33.0
0.0,0.0,Amazon,30890,6502,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,10080.548522471709,10080.548522471709,31.0,31.0
0.0,0.0,Amazon,30900,6667,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,12085.38072969665,12085.38072969665,33.0,33.0
0.0,0.0,Amazon,30916,6164,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,9904.82527723206,9904.82527723206,31.0,31.0
0.0,0.0,Amazon,30926,6338,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8752.96361616949,8752.96361616949,31.0,31.0
0.0,0.0,Amazon,30938,5072,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,9384.90809448861,9384.90809448861,25.0,25.0
0.0,0.0,Amazon,30952,4476,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,7076.623355325187,7076.623355325187,22.0,22.0
0.0,0.0,Amazon,30966,4221,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,6955.194722247112,6955.194722247112,22.0,22.0
0.0,0.0,Amazon,30974,2971,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5436.138154721389,5436.138154721389,15.0,15.0
0.0,0.0,Amazon,30982,3044,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,6084.06789519755,6084.06789519755,16.0,16.0
0.0,0.0,Amazon,30989,3112,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5499.955907320829,5499.955907320829,17.0,17.0
0.0,0.0,Amazon,31275,8588,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,14129.512676709497,14129.512676709497,40.0,40.0
