provider,plz,base_day,agg_k,scale,p_keep,noise_sigma,b2c_scale,b2b_scale,seed,is_baseline,actual_cost_eur,actual_distance_km,actual_duration_h,actual_n_routes,n_vehicles_planned,solve_time_s,vroom_status,n_parcels,n_stops,area_km2,hub_dist_km,parcels_per_stop,load_factor,min_vehicles,parcels_per_km2,ch_area_km2,ch_perimeter_km,mean_nn_dist_km,mean_inter_stop_dist_km,stop_density_ch,centroid_hub_dist_km,max_hub_dist_km,coord_std_x,coord_std_y,aspect_ratio,b2c_share,demand_std,max_stop_demand,demand_cap_ratio,provider_idx,day_idx,delivery_frequency
DPD,31311,1,3,1.0,1.0,0.2,1.0,1.0,123,False,1562.36,330.672,13.545833333333333,5,5,88.397,OK,975.0,300.0,139.34872865781722,17.19,3.25,4.239130434782608,5,6.996834555944865,89.59190793299175,38.846836570749126,0.12787274409964683,6.083311196412622,3.3485167011330783,16.562955091636397,23.268850011273255,3.9788443258644905,2.9946169410735495,1.3623834738558072,0.88,2.8811166816589244,22.0,0.8478260869565217,2.0,1.0,3.0
GLS,30659,5,3,1.3,0.9,0.0,1.0,1.0,123,False,822.51,157.766,5.3758333333333335,3,3,27.2141,OK,629.0,100.0,11.3882150903338,14.84,6.29,2.734782608695652,3,55.23253600416177,5.272047829540875,9.568681950775064,0.1282221589332283,1.160630870252655,18.967961451273226,14.795361656017365,16.257786141156487,0.6490792613435845,0.654297719698398,1.4299696582800545,0.8823529411764706,6.3549901652166225,38.0,0.9115942028985508,4.0,5.0,3.0
UPS,30419,5,3,1.3,0.9,0.2,1.0,1.0,123,False,1460.26,170.46,7.191111111111111,6,6,27.9707,OK,1252.0,120.0,23.77191867081394,7.09,10.433333333333334,5.443478260869565,6,52.66718338293609,22.0138416295621,18.227539357237664,0.1630310869562796,2.59771094545144,5.451115803379523,7.150881873305773,10.106147817055891,1.7262940946644816,1.1930202404564456,1.3839321350380795,0.1485623003194888,14.639406484629841,75.0,0.9072463768115943,6.0,5.0,3.0
DPD,30559,3,1,1.0,0.9,0.0,1.0,1.0,42,False,596.02,95.163,5.016944444444444,2,2,14.3819,OK,431.0,145.0,19.484913733542946,7.42,2.972413793103448,1.873913043478261,2,22.119677094491873,10.40189188025262,13.560414900034672,0.1263043801527582,1.8744116205622505,13.939771886619392,8.336764782955699,11.141089545333045,1.3738132523559339,0.6809834308817803,1.7495035104697245,0.7192575406032483,3.636870249003339,23.0,0.9369565217391305,2.0,3.0,1.0
Amazon,31303,4,2,0.7,0.9,0.2,1.0,1.0,123,False,1697.31,474.034,15.741388888888888,5,5,113.292,OK,1037.0,352.0,112.90680951768702,30.88,2.946022727272727,4.508695652173913,5,9.184565611497085,54.18145442249639,30.307331010991845,0.10642627760519721,3.74272508943167,6.496687911977645,30.08195799712586,33.75477426560068,1.220929818630311,3.0649058014998394,1.479809489704462,0.9990356798457087,2.863353104226489,25.0,0.9017391304347826,0.0,4.0,2.0
DHL,30827,2,3,1.0,0.9,0.0,1.0,1.0,456,False,3770.27,167.615,8.339166666666667,18,18,49.931,OK,4024.0,139.0,10.610683695060029,3.25,28.949640287769785,17.495652173913044,18,379.2404067113448,7.646238833645897,10.656700274864365,0.11618961114003021,1.301100157091024,18.178872387343635,2.9296737045592964,4.9026945738683585,0.7587080289566976,0.6968826814530689,1.030631151763359,0.8832007952286283,33.88986048592557,207.0,0.9719806763285024,1.0,2.0,3.0
FedEx,30163,2,1,1.3,1.0,0.2,1.0,1.0,456,False,2018.54,230.336,11.541666666666666,8,8,148.1179,OK,1617.0,185.0,19.436906373559538,7.51,8.740540540540541,7.030434782608696,8,83.19225132450303,17.34504354111486,15.815957874232442,0.14793796621890185,2.035828568183112,10.665871178788004,7.90732282533309,9.692305275804314,1.2109703382558108,1.0846678639808767,1.244632845986677,0.13852813852813853,15.28354457718991,134.0,0.878804347826087,3.0,2.0,1.0
DPD,31319,1,2,1.0,0.9,0.2,1.0,1.0,42,False,1145.11,174.642,8.9,4,4,101.3942,OK,721.0,281.0,101.18549289373648,7.08,2.565836298932384,3.134782608695652,4,7.125527379277419,61.68709960831448,32.0699885737934,0.1096354475696535,4.25662364520493,4.555247398308956,6.831377000654391,11.949970635149144,2.7990392442098027,2.0667137562773297,1.5016662261410112,0.8640776699029126,2.156701076162578,14.0,0.783695652173913,2.0,1.0,2.0
DHL,30900,2,2,1.3,1.0,0.2,1.0,1.0,456,False,7726.47,609.46,29.380555555555556,34,34,181.9603,OK,7712.0,569.0,173.55971997363926,4.94,13.55360281195079,33.530434782608694,34,44.434273120349125,136.51859087069639,44.40066400872938,0.12352363640674605,5.154171571851032,4.167930509471259,3.3754606888714345,11.257951002886548,3.296009439938239,2.917634735762675,1.1095300780128945,0.8810943983402489,16.264542775455272,189.0,0.9861892583120204,1.0,2.0,2.0
Hermes,30966,1,3,0.7,0.9,0.0,1.0,1.0,456,False,1226.16,244.186,10.398055555555555,4,4,64.8513,OK,855.0,203.0,31.832385676522556,16.87,4.211822660098522,3.717391304347826,4,26.859438330774907,18.98837351598812,16.85412460506165,0.09749879963134342,2.4773886599770707,10.690752413790205,15.870175367010516,18.91782213306096,1.1581978180589974,1.6330525576069452,1.2527166754456305,0.9707602339181286,4.10807904338252,24.0,0.9293478260869565,5.0,1.0,3.0
Hermes,30827,0,2,0.7,1.0,0.0,1.0,1.0,123,False,562.34,67.12,4.385277777777778,2,2,10.0623,OK,434.0,128.0,10.610683695060029,5.18,3.390625,1.8869565217391304,2,40.90217110157148,6.134249590210052,9.553902615819075,0.11034207562386487,1.2622487157274116,20.866447984816503,5.531541710516082,7.020566586134451,0.7601956685629387,0.6554544667865778,1.119172061146944,0.9700460829493087,3.0979690297636933,16.0,0.9434782608695652,5.0,0.0,2.0
DHL,30880,4,1,1.3,0.9,0.0,1.0,1.0,42,False,3335.48,312.738,15.705555555555556,14,14,168.1938,OK,3177.0,294.0,33.960996603727956,5.11,10.806122448979592,13.81304347826087,14,93.54849143771168,21.00748457525971,21.445715433162196,0.10296377700056604,3.2139201906307595,13.995012060903315,4.86224357593151,8.417730487266326,2.225461134250606,1.540518146885058,1.3980365009119715,0.8662259993704753,25.047977702908756,386.0,0.9866459627329193,1.0,4.0,1.0
Amazon,30938,4,3,1.3,1.0,0.2,1.0,1.0,456,False,4068.79,1100.432,27.54222222222222,14,14,132.5599,OK,3100.0,327.0,153.22446344831192,24.95,9.480122324159021,13.478260869565217,14,20.23175627595355,70.71239027701887,31.699526088584246,0.11359799643030458,4.030713569622972,4.624366376514261,22.95425014472884,27.715443782959664,2.30603598131859,2.5673981610898697,1.016594767273355,0.9987096774193548,11.842960824302098,165.0,0.9627329192546584,0.0,4.0,3.0
DPD,30519,1,3,1.0,0.9,0.0,1.0,1.0,456,False,1584.21,266.035,9.598888888888888,6,6,33.9003,OK,1294.0,192.0,12.113461405690837,12.99,6.739583333333333,5.626086956521739,6,106.82330645740004,6.979606992051796,9.990349316963403,0.09689549862316438,1.4372727133532817,27.508712198071446,12.683072552091849,14.505008580298743,0.9036129482190015,0.6835013698279383,1.2809242706145652,0.7867078825347759,14.242867214611515,182.0,0.9376811594202898,2.0,1.0,3.0
UPS,30982,0,2,1.3,0.9,0.2,1.0,1.0,123,False,692.52,203.991,6.5183333333333335,2,2,25.4046,OK,382.0,102.0,66.6831619829418,24.88,3.7450980392156863,1.6608695652173913,2,5.728582578278447,33.412566280150195,23.98836478533425,0.14865525334920787,3.252472692799371,3.052743663709434,23.291990654012086,30.334238078940032,1.050139808016136,2.795289268290302,2.1763510616679635,0.18324607329842932,4.091325770336037,32.0,0.8304347826086956,6.0,0.0,2.0
GLS,31303,1,1,1.0,0.9,0.0,1.0,1.0,123,False,768.55,203.6,8.634444444444444,2,2,56.9636,OK,345.0,198.0,112.90680951768702,24.81,1.7424242424242424,1.5,2,3.055617296013977,47.120296216539714,28.30354758894585,0.15355182805349155,3.5482954341699,4.202010935799252,23.504641688357754,30.58089163922521,1.1973258215205351,2.8843774171843366,1.4360121386762605,0.927536231884058,1.250986754695031,10.0,0.75,4.0,1.0,1.0
Amazon,30989,0,1,0.7,1.0,0.0,1.0,1.0,123,False,656.38,120.79,6.416111111111111,2,2,58.7821,OK,382.0,188.0,43.13135688268341,11.39,2.0319148936170213,1.6608695652173913,2,8.856665489078718,24.23930295590181,20.443408742983497,0.09718519218841205,2.5511370680490826,7.75599860862441,12.099597707649961,15.569743426912442,1.2322702263490348,1.7594796050581551,1.7533264915184559,0.9947643979057592,1.9729669183344178,19.0,0.8304347826086956,0.0,0.0,1.0
GLS,31311,3,2,0.7,1.0,0.0,1.0,1.0,456,False,861.38,264.756,10.550833333333333,2,2,77.5025,OK,381.0,247.0,139.34872865781722,30.96,1.54251012145749,1.6565217391304348,2,2.7341476572461474,88.68162846058179,38.86445431481428,0.1446420392720995,6.040783266347151,2.785244297918924,30.323291172076924,36.376890771686476,3.990605323621557,2.9347824715997204,1.3635529106649846,0.984251968503937,1.1789373581458724,10.0,0.8282608695652174,4.0,3.0,2.0
Hermes,31535,2,3,1.0,0.9,0.0,1.0,1.0,456,False,3391.51,800.051,32.99944444444444,10,10,385.7812,OK,2278.0,608.0,357.6158854957556,19.5,3.7467105263157894,9.904347826086957,10,6.3699631151509255,310.6631819493745,71.83395897928303,0.13419452198302712,8.769101802542433,1.9571034977008614,18.418288418138772,28.74035507081044,5.165166577383451,5.48374633221436,1.0329808577718105,0.9973661106233538,3.6672881448364016,33.0,0.9904347826086957,5.0,2.0,3.0
DHL,31535,5,1,1.3,1.0,0.2,1.0,1.0,123,False,3488.25,460.681,23.600555555555555,13,13,425.9473,OK,2895.0,648.0,357.6158854957556,5.5,4.467592592592593,12.58695652173913,13,8.095277971186096,325.27925611420204,73.07631734500892,0.14362751969714155,8.908907676418764,1.9921344131840186,3.259206601935,19.071755750180714,5.057236439277069,5.4578642638634784,1.013094955421065,0.9226252158894646,4.868854062651901,48.0,0.9682274247491639,1.0,5.0,1.0
DHL,30169,2,2,0.7,1.0,0.0,1.0,1.0,123,False,1507.02,84.777,4.163888888888889,7,7,17.9697,OK,1485.0,74.0,2.9960433745102675,2.4,20.06756756756757,6.456521739130435,7,495.6537053615713,2.6775112914095605,6.80731891218878,0.09212105221223423,0.9927691438603448,27.63760520354076,2.6640545960073725,3.362528945944198,0.6061946752191685,0.5472155550220987,1.139838325434257,0.8767676767676768,23.574683558726367,152.0,0.922360248447205,1.0,2.0,2.0
UPS,30163,5,1,1.3,0.9,0.0,1.0,1.0,123,False,998.06,102.796,5.5936111111111115,4,4,25.0449,OK,752.0,122.0,14.485893399375826,6.02,6.163934426229508,3.2695652173913046,4,51.912573099040095,11.166364074289174,13.005488155213529,0.12988993466963994,1.866878661448248,10.925669196198607,6.642764579565292,8.17419680053046,0.9228189728842409,1.1890626575353431,1.0373498734799547,0.18882978723404256,7.0726448964843165,36.0,0.8173913043478261,6.0,5.0,1.0
FedEx,30163,1,1,1.3,1.0,0.0,1.0,1.0,456,False,1562.35,188.915,9.827222222222222,6,6,60.4741,OK,1370.0,190.0,19.436906373559538,7.51,7.2105263157894735,5.956521739130435,6,70.48446772700629,16.608644111980286,15.391858571175495,0.13430574713873628,2.0036124798288895,11.439826076046003,7.955274408906927,9.660418364394033,1.1943932131492623,1.0630518455003737,1.2423644906901452,0.11532846715328467,12.757573384870655,130.0,0.9927536231884058,3.0,1.0,1.0
GLS,30827,5,3,1.0,0.9,0.0,1.0,1.0,42,False,925.41,266.718,7.053888888888889,3,3,24.3488,OK,567.0,108.0,10.610683695060029,22.43,5.25,2.465217391304348,3,53.43670740689177,6.132792121108242,9.671152647110613,0.12023086224965053,1.2265177767614104,17.610249600386517,22.43981780151914,23.623094675297104,0.744912693430693,0.6325475069006158,1.0416883519035705,0.873015873015873,4.904882299339136,29.0,0.8217391304347826,4.0,5.0,3.0
DPD,30453,3,1,1.3,1.0,0.0,1.0,1.0,42,False,614.21,140.208,5.034166666666667,2,2,21.8639,OK,377.0,102.0,9.157258958740023,18.23,3.696078431372549,1.6391304347826088,2,41.169524821636436,9.928676899127472,13.64425194253027,0.14558531273722897,1.7791766187638163,10.273272162674939,18.7538213668216,20.051323891587398,1.0085408756190326,1.1375814867730596,1.078385040808463,0.7931034482758621,3.0989853357987323,18.0,0.8195652173913044,2.0,3.0,1.0
DHL,30455,0,1,1.3,1.0,0.2,1.0,1.0,456,False,1567.74,103.167,5.651666666666666,7,7,45.6409,OK,1464.0,149.0,6.967819653017212,3.04,9.825503355704697,6.3652173913043475,7,210.10876757782577,4.794252973566617,8.417673002972672,0.09367428577154273,1.153422164259202,31.078877318639602,3.0777810437368895,4.145817946808396,0.49615898812010517,0.7660347425425749,1.4906587059242853,0.907103825136612,10.35914247417827,62.0,0.9093167701863354,1.0,0.0,1.0
Amazon,30823,5,3,1.3,0.9,0.0,1.0,1.0,42,False,2480.44,131.325,9.682222222222222,11,11,44.7097,OK,2470.0,197.0,12.528872220645557,1.29,12.538071065989847,10.73913043478261,11,197.14463971704006,7.505751163342896,10.67269421243219,0.09739333011983564,1.3434559498638643,26.24654024797973,2.1327186348503715,3.882798811482011,0.7548127862565189,0.7482974101765166,1.1048384405781273,0.9967611336032388,17.287500908164024,140.0,0.9762845849802372,0.0,5.0,3.0
GLS,30449,3,1,0.7,1.0,0.2,1.0,1.0,123,False,560.05,91.644,4.055833333333333,2,2,16.0988,OK,264.0,115.0,5.186686836161483,10.84,2.2956521739130435,1.1478260869565218,2,50.89954499650855,5.297290747553016,9.132949129261597,0.10071570386523036,1.197870563092449,21.709210515417166,11.190226629072074,12.136985430251523,0.818766652690416,0.5273046106982358,1.335931721497979,0.8674242424242424,2.15879963846046,12.0,0.5739130434782609,4.0,3.0,1.0
Hermes,30952,4,3,1.3,1.0,0.2,1.0,1.0,123,False,2042.69,365.163,16.00611111111111,7,7,58.2001,OK,1463.0,234.0,37.755537878390655,15.6,6.252136752136752,6.360869565217391,7,38.749282415530004,24.98557773044833,20.647777397106776,0.09629648360346939,2.912393261261304,9.36540281455406,14.180310926214686,19.49224137582803,0.9903150399418508,2.2005195792120955,2.065161622321952,0.9822282980177717,5.844174516231582,41.0,0.908695652173913,5.0,4.0,3.0
DPD,30926,3,2,1.3,1.0,0.0,1.0,1.0,456,False,1819.79,479.21,13.833333333333334,6,6,72.9617,OK,1161.0,303.0,53.8021301528445,25.6,3.8316831683168315,5.047826086956522,6,21.579071250557508,43.86707691535966,27.072529662054407,0.10216094438335127,3.820682682807686,6.90723023520875,24.171359759954484,30.150105473543864,2.9631873950108467,1.3633784831781495,1.7800079756421388,0.8165374677002584,4.348064263958397,43.0,0.841304347826087,2.0,3.0,2.0
GLS,30655,5,2,1.0,0.9,0.0,1.0,1.0,42,False,564.21,89.888,4.190555555555555,2,2,17.6341,OK,384.0,98.0,4.462508901721823,13.05,3.9183673469387754,1.6695652173913043,2,86.05024851644255,4.167607125796273,8.51456403484675,0.10525643007668702,1.2990436169050381,23.514692494263333,13.088049923032525,13.871039605758703,0.9718478020567327,0.403579234835805,1.9213817857708346,0.8385416666666666,3.9940605633144286,26.0,0.8347826086956521,4.0,5.0,2.0
Amazon,31832,3,2,0.7,1.0,0.2,1.0,1.0,42,False,2188.03,598.978,22.765,6,6,157.8144,OK,1363.0,435.0,159.38246951696127,25.63,3.1333333333333333,5.926086956521739,6,8.551756062826918,122.34546350160312,42.57028148026275,0.10826415973964947,6.069365224117781,3.5555057584484944,24.268628537446276,31.887550159424105,4.146623405284689,2.832796136764769,1.1241353444214315,1.0,2.5963133308361295,25.0,0.9876811594202899,0.0,3.0,2.0
UPS,30853,2,2,1.3,1.0,0.2,1.0,1.0,456,False,2012.07,106.365,7.451388888888889,9,9,23.8184,OK,2012.0,150.0,12.833286131520444,2.1,13.413333333333334,8.747826086956522,9,156.77979742524647,10.460392723838975,12.325910409437691,0.12915036667188468,1.599634002248786,14.339805775948902,2.3570201058991636,4.237598364810213,0.8039158120302947,0.9791139713799082,1.1056329033872765,0.18588469184890655,28.46780325599821,257.0,0.9719806763285024,6.0,2.0,2.0
FedEx,31832,2,2,1.0,0.9,0.2,1.0,1.0,42,False,845.12,275.787,9.979444444444445,2,2,15.1926,OK,398.0,127.0,159.38246951696127,29.81,3.1338582677165356,1.7304347826086957,2,2.497137867208447,112.10102655947374,41.47567924094575,0.20633869908544283,5.264463268269539,1.1329066637282024,28.43080796471887,34.76315143007546,3.7399061626159726,2.320102065447958,1.1327065467715467,0.11809045226130653,4.684304845483881,46.0,0.8652173913043478,3.0,2.0,2.0
Amazon,30165,5,1,1.3,1.0,0.0,1.0,1.0,123,False,778.74,114.705,4.626666666666667,3,3,16.133,OK,570.0,76.0,4.951012974183712,10.52,7.5,2.4782608695652173,3,115.12795522293649,4.0601649993441855,9.293761008780631,0.11985739153840914,0.9956439250868481,18.71845110045425,10.959484027343114,12.007176030668207,0.5686738472407485,0.63203119291945,1.3711135081734334,0.9824561403508771,12.790312946255767,94.0,0.8260869565217391,0.0,5.0,1.0
DHL,30539,0,3,1.0,1.0,0.2,1.0,1.0,456,False,4647.49,327.643,15.210555555555555,21,21,112.2006,OK,4669.0,161.0,19.21423828970633,3.99,29.0,20.3,21,242.99688229126053,9.084200604112215,11.851203166782119,0.10080846372338617,1.4837191766441238,17.72307845415907,3.840129464454963,6.266277875338993,0.7286500176104055,0.9667307052824079,1.461737894269901,0.8374384236453202,56.440261388392436,652.0,0.9666666666666667,1.0,0.0,3.0
Hermes,30851,1,1,0.7,0.9,0.2,1.0,1.0,456,False,283.35,30.767,2.283333333333333,1,1,6.407,OK,183.0,66.0,4.12190647126244,3.44,2.772727272727273,0.7956521739130434,1,44.39693168097323,3.3009201715391594,7.311143585558482,0.11832190758306278,1.0482830751953491,19.994424757392842,3.2857538105879636,4.636392347180175,0.6739723177099753,0.4805925085574929,1.7011127494497342,0.9398907103825137,2.5749107342306448,15.0,0.7956521739130434,5.0,1.0,1.0
Hermes,31311,5,2,1.3,1.0,0.0,1.0,1.0,42,False,1457.16,419.192,14.918888888888889,4,4,80.0966,OK,786.0,264.0,139.34872865781722,32.49,2.977272727272727,3.417391304347826,4,5.640525088177091,89.83636793700316,38.809641602170025,0.13040295180871206,6.121892904693485,2.938676240619248,31.89894275854493,39.22838772822171,3.9413370618912964,3.069231143521416,1.3588034422221242,1.0,2.4245146627443317,18.0,0.8543478260869565,5.0,5.0,2.0
DPD,31311,3,3,1.3,0.9,0.2,1.0,1.0,42,False,1539.67,325.89,12.9675,5,5,65.0417,OK,976.0,265.0,139.34872865781722,17.19,3.6830188679245284,4.243478260869566,5,7.004010796515065,85.7145237705643,38.8388331869463,0.1358159043591615,6.06884855989322,3.0916580801327993,16.56532258918825,23.268850011273255,4.006913611448736,2.945503502150487,1.348967091376722,0.8965163934426229,3.4626707899602587,25.0,0.8486956521739131,2.0,3.0,3.0
DHL,30655,3,2,1.3,0.9,0.2,1.0,1.0,42,False,3344.64,224.112,11.66638888888889,15,15,53.055,OK,3385.0,127.0,4.462508901721823,5.25,26.653543307086615,14.717391304347826,15,758.5419042399949,4.1685824889738035,8.596268029870167,0.09119684037648851,1.3133268799916724,30.465991817584037,5.3500742543755,7.0423932207885205,0.9906101181002883,0.3950795491160517,1.8082696012651045,0.8927621861152142,35.338493199600386,244.0,0.981159420289855,1.0,3.0,2.0
DPD,30880,0,1,1.0,0.9,0.0,1.0,1.0,42,False,925.47,189.48,7.8925,3,3,31.4978,OK,509.0,189.0,33.960996603727956,12.89,2.693121693121693,2.2130434782608694,3,14.987781599557835,20.333770342012105,21.410067468316175,0.12369739570358786,3.141081593034816,9.294882199466098,12.999566051024656,14.71015687335205,2.1462766347653557,1.556333146791445,1.3682836945531065,0.7819253438113949,4.840416844505959,59.0,0.7376811594202899,2.0,0.0,1.0
DHL,30179,5,1,1.3,1.0,0.0,1.0,1.0,456,False,1129.99,72.444,4.333055555555555,5,5,8.9102,OK,996.0,89.0,8.305970462175056,3.55,11.191011235955056,4.3304347826086955,5,119.91374211306561,5.965968007693307,9.924265085125807,0.14422323908552806,1.235985493601216,14.917947914777896,3.6667915911590385,4.930789396722966,0.8955243292147862,0.4736018767309416,1.7221389696487268,0.9106425702811245,12.995138593616055,78.0,0.8660869565217392,1.0,5.0,1.0
DPD,30627,2,2,0.7,1.0,0.2,1.0,1.0,123,False,515.67,78.565,2.964722222222222,2,2,5.2259,OK,268.0,68.0,3.3903855235675273,8.59,3.9411764705882355,1.1652173913043478,2,79.04705766853247,2.1142579971800006,6.30912572279141,0.09794137878269328,0.9916526979698769,32.162583795685514,8.783690605541759,9.97598549101856,0.6162401049736679,0.5083841803019082,1.1678613245593705,0.7649253731343284,3.3161031034012716,15.0,0.5826086956521739,2.0,2.0,2.0
FedEx,31319,5,3,1.3,0.9,0.2,1.0,1.0,42,False,663.41,176.916,6.003333333333333,2,2,9.9491,OK,391.0,88.0,101.18549289373648,25.21,4.443181818181818,1.7,2,3.8641902986095293,42.49512198823173,29.216276932627864,0.18014507324389134,3.2538655918020227,2.0708259179575963,23.951459572846566,29.83969343518983,2.092510849219042,1.7702853477404616,1.7365198628352565,0.10997442455242967,6.413511934235291,38.0,0.85,3.0,5.0,3.0
Hermes,31832,2,1,0.7,0.9,0.2,1.0,1.0,123,False,1223.44,364.19,14.276666666666667,3,2,255.1513,OK,417.0,274.0,159.38246951696127,28.44,1.5218978102189782,1.8130434782608695,2,2.6163479663967903,122.39021271295277,42.49669598351441,0.13423157440644726,6.220086745546753,2.2387411045899923,27.05823524942808,33.52927632113419,4.198845371309831,2.8221179190886927,1.1131647012160582,0.9904076738609112,0.9089349930957863,7.0,0.9065217391304348,5.0,2.0,1.0
UPS,31275,1,3,1.3,1.0,0.0,1.0,1.0,42,False,2875.93,673.826,20.045555555555556,10,10,97.904,OK,2112.0,303.0,129.47251256919432,21.19,6.97029702970297,9.182608695652174,10,16.3123427366197,104.39500836164403,42.226697771231564,0.1633409925289152,6.180256453297346,2.902437623744909,21.402929907134993,29.688174183258866,4.960035286941221,1.8465552855153005,1.5282216298434161,0.21070075757575757,13.17247012593705,179.0,0.9182608695652174,6.0,1.0,3.0
UPS,30519,0,1,1.3,1.0,0.2,1.0,1.0,123,False,897.23,194.576,7.0525,3,3,108.5953,OK,677.0,109.0,13.714884737746763,14.32,6.2110091743119265,2.9434782608695653,3,49.36242724204077,7.7223906013584855,10.651867660647913,0.15127231290001072,1.521449352040649,14.11480014761559,14.08769600084437,15.708634411348841,0.9431661932091182,0.7406019498001636,1.1896011648239107,0.16691285081240767,15.01318893842455,141.0,0.981159420289855,6.0,0.0,1.0
GLS,30982,2,1,1.3,1.0,0.0,1.0,1.0,42,False,576.83,75.4,4.698055555555555,2,2,18.0358,OK,277.0,133.0,66.6831619829418,6.34,2.082706766917293,1.2043478260869565,2,4.15397218372547,34.0604030722602,24.047567069561754,0.14393179700020378,4.094603507336375,3.904827541759749,5.695583524051595,10.8063221854435,1.2367024694172424,3.2852870780704038,2.1252423769670306,0.9422382671480144,1.6993811911432206,13.0,0.6021739130434782,4.0,2.0,1.0
Hermes,31535,4,2,0.7,1.0,0.0,1.0,1.0,42,False,2022.05,519.746,24.266666666666666,5,5,419.1631,OK,943.0,551.0,357.6158854957556,19.5,1.7114337568058076,4.1,5,2.6369074704070776,309.0178619311594,71.66284028320996,0.13945451138548123,9.209293840636219,1.7830684496896412,18.227037631817993,28.703540379363435,5.052703613350846,5.398080035195275,1.0293488125100352,0.9946977730646872,1.4353066584773975,11.0,0.82,5.0,4.0,2.0
Hermes,30519,1,2,1.0,0.9,0.2,1.0,1.0,123,False,1445.3,281.773,10.823888888888888,5,5,45.106,OK,986.0,189.0,13.714884737746763,13.8,5.216931216931217,4.28695652173913,5,71.89269314719675,7.877382162489648,11.175366231133081,0.09780299542181765,1.4488189866103445,23.992742271661797,13.533663928570752,16.312488998741316,0.9053877374742753,0.6990409860066044,1.0863879137187396,0.9563894523326572,9.913943422294384,125.0,0.8573913043478261,5.0,1.0,2.0
UPS,30625,0,2,0.7,0.9,0.2,1.0,1.0,42,False,828.81,135.392,5.793333333333333,3,3,27.4074,OK,661.0,111.0,12.254281076148747,10.42,5.954954954954955,2.873913043478261,3,53.94033284307021,7.607767906470786,11.000924115074517,0.12284917153079765,1.6043884964876083,14.590350463450516,10.189928695226582,11.379255928258102,0.9996471363877591,0.8070856884948996,1.3542118738073532,0.1951588502269289,11.49491653206112,95.0,0.9579710144927536,6.0,0.0,2.0
DHL,31311,2,3,1.0,0.9,0.0,1.0,1.0,42,False,4360.88,381.006,17.178055555555556,19,19,114.8964,OK,4264.0,341.0,139.34872865781722,3.81,12.504398826979472,18.53913043478261,19,30.59948979133221,91.78613586460216,39.08578953606738,0.1329957204783534,5.998098455154625,3.7151580332679477,4.39240674396572,11.74482579130932,3.8934953303303046,3.09811188148766,1.3414253686603275,0.8946998123827392,12.65945144370797,112.0,0.9757437070938215,1.0,2.0,3.0
Amazon,30559,2,3,0.7,1.0,0.0,1.0,1.0,123,False,2577.77,652.044,17.253611111111113,9,9,85.4449,OK,2027.0,218.0,19.484913733542946,20.15,9.29816513761468,8.81304347826087,9,104.02920062769147,10.921354913322435,13.92295743706308,0.09986552339004842,1.8861930473540085,19.96089328935481,19.426577259188154,21.98495493307361,1.3823268803526396,0.6961101895774312,1.7900877339423649,0.9960532807104094,12.795788309758114,121.0,0.9792270531400966,0.0,2.0,3.0
FedEx,30449,1,2,0.7,0.9,0.0,1.0,1.0,123,False,1398.3,255.809,9.799444444444445,5,5,29.5347,OK,924.0,149.0,12.461078026502008,12.7,6.201342281879195,4.017391304347826,5,74.15088791153161,11.427085443480525,12.757759867340436,0.12490527750889543,1.680914482210672,13.039195404372224,11.575447057880545,14.285592849209165,0.7513296924235909,1.1491142476122702,1.3869497702064986,0.14285714285714285,9.148278794925783,72.0,0.8034782608695652,3.0,1.0,2.0
FedEx,30655,4,1,0.7,1.0,0.0,1.0,1.0,42,False,589.2,95.028,4.828888888888889,2,2,15.3607,OK,245.0,80.0,15.850723992055624,11.41,3.0625,1.065217391304348,2,15.456707221877934,10.311359997926369,12.542813054843183,0.18217693066345847,1.6382621871848917,7.758433418684648,10.421191957537918,12.205377364418787,0.9685829102675271,0.8818477117038902,1.0084318931710778,0.1306122448979592,3.432723954820719,20.0,0.532608695652174,3.0,4.0,1.0
Hermes,30627,3,1,1.3,1.0,0.2,1.0,1.0,123,False,546.14,79.658,3.7994444444444446,2,2,10.3239,OK,282.0,65.0,3.3903855235675273,11.3,4.338461538461538,1.2260869565217392,2,83.17638157659015,2.2765112637471803,6.311448343489759,0.09735212696998796,0.9513375572763334,28.55246140667399,10.881270028670137,12.3236517366896,0.5822746097020284,0.494293259844337,1.1757003435736548,0.975177304964539,3.8160669365074464,24.0,0.6130434782608696,5.0,3.0,1.0
Amazon,30826,0,1,1.0,0.9,0.0,1.0,1.0,456,False,857.61,98.974,6.987777777777778,3,3,30.6519,OK,497.0,166.0,56.38950461206911,3.98,2.9939759036144578,2.1608695652173915,3,8.813696864675533,31.950847236142767,23.344763392909663,0.14286910939307199,3.204195676574909,5.195480381885491,3.1104253180971777,6.599812084544205,2.1525674673274913,1.4577416547833262,1.4193782630583238,1.0,2.465416184597397,15.0,0.7202898550724638,0.0,0.0,1.0
DPD,30916,1,3,1.0,0.9,0.0,1.0,1.0,456,False,1881.73,307.15,12.163611111111111,7,7,59.3265,OK,1498.0,256.0,59.876286869182046,10.68,5.8515625,6.51304347826087,7,25.01825143688079,40.95645974348899,25.11968291401988,0.11343823293375821,3.9848843317928044,6.250540246967936,10.736908157768953,15.172553905965055,2.627916343625732,1.8041427250209439,1.3006304545077088,0.7763684913217623,9.113511469713183,81.0,0.9304347826086956,2.0,1.0,3.0
