provider,plz,base_day,agg_k,scale,p_keep,noise_sigma,b2c_scale,b2b_scale,seed,is_baseline,actual_cost_eur,actual_distance_km,actual_duration_h,actual_n_routes,n_vehicles_planned,solve_time_s,vroom_status,n_parcels,n_stops,area_km2,hub_dist_km,parcels_per_stop,load_factor,min_vehicles,parcels_per_km2,ch_area_km2,ch_perimeter_km,mean_nn_dist_km,mean_inter_stop_dist_km,stop_density_ch,centroid_hub_dist_km,max_hub_dist_km,coord_std_x,coord_std_y,aspect_ratio,b2c_share,demand_std,max_stop_demand,demand_cap_ratio,provider_idx,day_idx,delivery_frequency,n_merged_members,n_components_post_union,hull_overhead_pct,bbox_overhead_pct,max_member_centroid_km,mean_member_centroid_km,isoperimetric_q
Amazon,30457,0,1,1.0,1.0,0.0,1.0,1.0,42,True,848.12,138.747,6.293333333333333,3,3,13.575,OK,494.0,115.0,6.068989648841514,13.37,4.295652173913044,2.1478260869565218,3,81.39740361796427,3.4493375706603584,7.751447348475173,0.088999284964288,1.0222478840535925,33.339734845953,13.356006838778406,14.58075812621346,0.5392431315613103,0.6203196186487895,1.2745849263242215,0.9898785425101214,4.575879887910327,31.0,0.7159420289855073,0.0,0.0,1.0,1,1,40.86016654473907,106.64622955958146,0.0,0.0,0.3766597440863178
GLS,30163,4,3,1.0,1.0,0.0,1.0,1.0,42,True,1547.18,219.71,9.071944444444444,6,6,34.2893,OK,1234.0,152.0,6.17992293720077,13.11,8.118421052631579,5.365217391304348,6,199.6788653417978,4.276859115723494,8.3346818446738,0.0891960075014405,1.2884717705956197,35.54009984597937,13.254289218397515,14.444356827172513,0.9277537678138768,0.4748013655296904,1.65243910382645,0.8581847649918962,12.620437795041193,133.0,0.8942028985507247,4.0,4.0,3.0,2,1,26.36297600436031,67.22535732227354,1.5773336082164695,1.5773336082164695,0.4438384637750585
Hermes,30826,0,2,1.0,1.0,0.0,1.0,1.0,42,True,1133.09,165.0,8.670555555555556,4,4,20.6038,OK,713.0,179.0,56.38950461206911,9.0,3.983240223463687,3.1,4,12.644196910490251,26.626207293091174,22.403625326918057,0.131452923902711,3.2263392587827378,6.722699858437817,9.605521931833154,13.33210382454236,2.19280069395994,1.4452805146647587,1.6655871613016542,0.9957924263674616,8.263451779432598,107.0,0.775,5.0,0.0,2.0,1,1,17.49378367023463,78.21540867745078,0.0,0.0,0.3856450133240412
UPS,30419,1,3,1.0,1.0,0.0,1.0,1.0,42,True,1464.47,171.169,7.300277777777778,6,6,22.5319,OK,1156.0,131.0,23.77191867081394,7.09,8.82442748091603,5.026086956521739,6,48.6288051043723,22.57402069933656,18.25713206567371,0.1519730115408301,2.582502764728308,5.803131030346315,7.124406356417495,10.02883164920478,1.71363951261709,1.197991055803811,1.45187870108321,0.1539792387543252,12.719211241106343,68.0,0.8376811594202899,6.0,1.0,3.0,1,1,43.385312274444885,86.44204041340043,0.0,0.0,0.2341147833293431
FedEx,30419,5,1,1.0,1.0,0.0,1.0,1.0,42,True,330.64,61.321,3.265833333333333,1,1,2.6771,OK,191.0,58.0,23.77191867081394,5.53,3.293103448275862,0.8304347826086956,1,8.034690116725873,18.759497497896128,17.01253704604431,0.2682765796086683,2.390376371910281,3.091767250508959,5.835736387246446,7.87965537032099,1.504371934526101,1.1738615308030134,1.4472200264569364,0.1204188481675392,2.678191751586128,10.0,0.8304347826086956,3.0,5.0,1.0,1,1,43.385312274444885,86.44204041340043,0.0,0.0,0.2341147833293431
Amazon,30161,2,1,1.0,1.0,0.0,1.0,1.0,42,True,1275.43,192.654,7.070833333333334,5,5,11.084,OK,930.0,80.0,1.79798433827919,12.74,11.625,4.043478260869565,5,517.2458848501883,1.6678578242442688,4.927397226232052,0.0858681824070244,0.7123830395131893,47.96571916209297,12.641595545782575,13.496854096091257,0.3981008020463537,0.3850328360721007,1.258571758219036,0.975268817204301,10.35298869892168,50.0,0.808695652173913,0.0,2.0,1.0,1,2,22.953455896357088,69.23863464828264,0.0,0.0,0.3307023811719838
UPS,30982,5,3,1.0,1.0,0.0,1.0,1.0,42,True,702.8,206.497,6.776944444444444,2,2,69.5279,OK,420.0,117.0,66.6831619829418,24.88,3.58974358974359,1.826086956521739,2,6.2984415782119045,32.429298596351124,23.71946685300497,0.1318867375598262,3.464404736018002,3.607848614190027,23.525421048504462,30.334238078940032,1.0409771464667592,2.967389041665352,2.1359216278509794,0.1833333333333333,4.478159432184806,33.0,0.9130434782608696,6.0,5.0,3.0,1,1,34.80836995790101,102.47435719568998,0.0,0.0,0.2049400270782702
DHL,31311,3,2,1.0,1.0,0.0,1.0,1.0,42,True,3309.46,311.778,14.993333333333334,14,14,93.5442,OK,3075.0,369.0,139.34872865781722,3.81,8.333333333333334,13.369565217391305,14,22.06693975336457,93.3220598333981,39.51347585399618,0.1300099175820274,5.532679816497719,3.954049028265686,4.453416556603759,11.74482579130932,3.944942533527425,3.067514251254316,1.3462463109689422,0.9056910569105692,8.55050355892044,81.0,0.9549689440993788,1.0,3.0,2.0,1,1,33.23261426531148,77.17210882751733,0.0,0.0,0.2938711802698911
Amazon,30853,4,2,1.0,1.0,0.0,1.0,1.0,42,True,1035.44,161.621,5.994722222222222,4,4,15.7325,OK,807.0,114.0,8.711379660258004,12.37,7.078947368421052,3.508695652173913,4,92.63745026308489,5.9888007943464725,9.34340288553642,0.1069074559558451,1.3844783998949115,19.035530470076395,12.15612868193481,13.626443007559269,0.8337197117422721,0.694701719287436,1.0336369838948951,0.9962825278810408,10.949761462467992,79.0,0.8771739130434782,0.0,4.0,2.0,1,1,19.22675865825972,50.51149263342136,0.0,0.0,0.5125696416554132
DPD,31311,0,2,1.0,1.0,0.0,1.0,1.0,42,True,1033.79,229.775,10.464722222222225,3,3,55.7192,OK,561.0,241.0,139.34872865781722,17.19,2.327800829875519,2.4391304347826086,3,4.0258709598821225,84.87815463583084,38.182962460248014,0.1447981105930272,6.024475404348565,2.839364274989353,16.50732829954236,22.815946196009207,3.9255307388408687,2.968579342118036,1.336286943071633,0.8805704099821747,1.854794990896992,14.0,0.8130434782608695,2.0,0.0,2.0,1,1,33.23261426531148,77.17210882751733,0.0,0.0,0.2938711802698911
UPS,30163,4,2,1.0,1.0,0.0,1.0,1.0,42,True,1692.95,162.264,8.489166666666666,7,7,27.593,OK,1427.0,164.0,14.485893399375826,6.02,8.701219512195122,6.2043478260869565,7,98.50963006958806,12.05513223024664,13.575097429543105,0.1204088716611861,1.8382125198014916,13.604164339941436,6.629660051943347,8.181042009445411,0.9256041642941584,1.1454980804839057,1.0838019847987166,0.1913104414856342,11.591723223631496,67.0,0.886335403726708,6.0,4.0,2.0,3,1,26.949853640542884,80.814204659643,2.90185303043283,2.195419462991377,0.3095223661853724
DPD,30539,2,3,1.0,1.0,0.0,1.0,1.0,42,True,1059.76,161.815,6.668055555555555,4,4,19.5407,OK,917.0,144.0,19.21423828970633,9.52,6.368055555555555,3.9869565217391294,4,47.72502485780379,8.819243292587995,11.763391436868847,0.1088250549320403,1.4727408479668629,16.327931458816053,9.575011957970366,11.760820222658657,0.7124065573630473,0.9702592924483936,1.4583230168182189,0.7241003271537623,13.223372892858322,153.0,0.9967391304347826,2.0,2.0,3.0,1,1,19.223443687674884,59.97475862282031,0.0,0.0,0.4417525163807731
