provider,hub,day,mode,n_plz,n_parcels,area_km2,parcels_per_km2,cost,in_distribution,window,fast_share,share_willing
FedEx,FedEx Station - Heinz-Peter-Piper Str.,4,bundled,1,9,159.38246951696127,0.05646794172079403,316.5886303910919,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,4,bundled,1,7,12.528872220645557,0.5587095052709637,269.1941486714447,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,4,bundled,1,6,6.068989648841514,0.9886324326068535,285.01761765857054,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,4,bundled,1,6,101.18549289373648,0.059297037830325264,304.7906023435163,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,4,bundled,1,5,139.34872865781722,0.03588120285099931,309.3598219043836,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,5,bundled,1,4,66.6831619829418,0.05998515788773242,321.03673692988565,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,0,bundled,1,54,125.18180774883541,0.4313725849713364,405.38698618394614,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,0,bundled,1,51,129.47251256919432,0.3939060035831462,333.0829388343571,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,0,bundled,1,44,6.17992293720077,7.119829882527636,263.61146390737366,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,0,bundled,1,43,33.960996603727956,1.2661583669567522,259.4413349838985,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,0,bundled,1,41,173.55971997363926,0.23622992711803864,377.0088975546969,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,0,bundled,2,55,105.6480017954583,0.5205966896229967,306.1440331977656,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,0,bundled,2,51,46.91279683713068,1.0871234170296658,279.1956267960291,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,0,bundled,2,51,171.18111433433978,0.29793006195993166,382.1692984241489,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,1,bundled,1,58,357.6158854957556,0.16218518906003235,476.5435180198879,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,1,bundled,1,42,102.53407734275534,0.4096199145538764,332.2331953899801,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,1,bundled,1,37,112.90680951768702,0.32770388392033956,314.55396420134207,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,1,bundled,1,32,153.22446344831192,0.20884393575177856,308.90891481329714,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,1,bundled,1,22,19.21423828970633,1.1449842386823157,253.67301626501424,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,1,bundled,1,21,66.6831619829418,0.3149220789105952,269.87888994202206,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,2,bundled,1,61,125.18180774883541,0.4872912533935467,391.90946632681187,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,2,bundled,1,51,173.55971997363926,0.2938469825126822,378.87862399406924,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,2,bundled,1,45,33.960996603727956,1.3250494537919502,255.19242029604658,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,2,bundled,1,44,53.8021301528445,0.8178114858092423,325.91721854514276,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,2,bundled,1,31,37.755537878390655,0.8210716027897677,289.47178939915455,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,2,bundled,2,53,38.800205329539764,1.3659721527207873,283.37920844360985,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,2,bundled,2,51,145.41771830665874,0.3507137960482267,377.19262493120783,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,3,bundled,1,58,129.47251256919432,0.4479715334867153,327.4062270431507,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,3,bundled,1,58,357.6158854957556,0.16218518906003235,483.54864559323244,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,3,bundled,1,47,102.53407734275534,0.45838419009600456,332.6715186769213,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,3,bundled,1,40,112.90680951768702,0.3542744691030698,323.81283793210446,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,3,bundled,1,38,159.38246951696127,0.2384201983766859,327.7368058764483,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,3,bundled,1,35,101.18549289373648,0.345899387343564,274.70910131695297,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,3,bundled,1,33,153.22446344831192,0.21537030874402166,308.49935869464286,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,3,bundled,1,24,19.21423828970633,1.2490737149261624,253.0254758892952,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,3,bundled,1,24,12.670949194485747,1.8940964588860105,281.9126021492832,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,3,bundled,1,24,10.610683695060029,2.261871212990128,312.1898386633666,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,4,bundled,1,50,125.18180774883541,0.3994190601586448,388.3034329613034,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,4,bundled,1,38,173.55971997363926,0.2189448104996456,355.3126305055479,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,4,bundled,1,34,59.876286869182046,0.567837482546026,317.1367049729239,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,4,bundled,2,36,41.145923401958186,0.8749347936200823,297.87135829363035,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,4,bundled,1,25,31.832385676522556,0.7853636938823072,273.10841683314885,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,4,bundled,2,44,151.87760087846277,0.2897069728880573,395.3419689087711,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,5,bundled,1,36,357.6158854957556,0.10066666907174421,443.0588301853188,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,5,bundled,1,28,53.8021301528445,0.5204254909695178,334.26146504025814,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,5,bundled,1,27,102.53407734275534,0.263327087927492,311.5125626767794,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,5,bundled,1,25,112.90680951768702,0.22142154318941865,312.75597046890186,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,5,bundled,1,25,159.38246951696127,0.1568553936688723,317.8321391535051,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,5,bundled,1,22,153.22446344831192,0.14358020582934777,302.91767811083105,False,2,0.1,0.9
GLS,GLS in Hannover Laatzen,5,bundled,1,17,56.38950461206911,0.30147454064282503,347.33129207395166,False,2,0.1,0.9
Hermes,Hermes LC Hannover Langenhagen,0,bundled,1,79,125.18180774883541,0.6310821150506588,352.1537555577181,False,2,0.1,0.9
Hermes,Hermes LC Hannover Langenhagen,0,bundled,1,57,102.53407734275534,0.5559127411802609,326.30443891605944,False,2,0.1,0.9
