penalty,share_willing,init_cost_eur,bal_cost_eur,max_fleet_before,max_fleet_after,total_swaps,total_routes_before,total_routes_after,imbalance_before,imbalance_after,wait_init,wait_bal,saving_init_pct,saving_bal_pct,fleet_red_pct,delta_pct
2.0,1.0,1882243.6286827144,1886240.311406513,893.0,872.0,24,6364.0,6375.0,451.0,393.0,0.008909877315346268,0.010894497531264924,1.440196513480501,1.2309184700578055,2.3516237402015676,0.21233610053952628
5.0,0.0,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.1,1817985.3487361385,1826366.6368469067,890.0,885.0,27,6365.0,6387.0,446.0,419.0,0.15911531935219123,0.16216013659190529,4.8049487418350285,4.366079885235774,0.5617977528089888,0.46102066315302553
5.0,0.2,1842376.0766609828,1857034.6318358453,882.0,874.0,51,6350.0,6393.0,437.0,386.0,0.0783442717693349,0.08905668194617075,3.5277786058690426,2.7602136129983514,0.9070294784580499,0.7956331696093681
5.0,0.3,1889386.1281230599,1894315.0092975704,885.0,878.0,24,6367.0,6381.0,435.0,411.0,0.014802118546784572,0.016636714616336663,1.0661942692887167,0.8081035776452832,0.7909604519774012,0.26087209497017905
5.0,0.4,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.5,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.6,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.7,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.8,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.9,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.1,1837079.9968836044,1841322.6229931957,893.0,887.0,15,6373.0,6383.0,447.0,432.0,0.12365578628750272,0.1253839008389213,3.8050968946139743,3.582940533314066,0.671892497200448,0.23094400444119734
10.0,0.2,1892191.4254737133,1894638.5644459073,890.0,889.0,8,6390.0,6395.0,443.0,435.0,0.015453146812547662,0.017230477728605392,0.9193006624312674,0.7911612799792552,0.11235955056179775,0.12932829835550538
10.0,0.3,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
