penalty,share_willing,peak_a,total_a,cv_a,peak_red_pct,cv_red_pct,total_red_pct
0.5,0.2,1172.0,6366.0,0.09357280556723345,5.4075867635189665,30.558043157622123,0.4846021572612162
0.5,0.3,1164.0,6359.0,0.08778247245129456,6.053268765133172,34.855146999946385,0.5940284508363295
0.5,0.4,1161.0,6336.0,0.08543045365675389,6.295399515738499,36.60061980727394,0.9535719868688448
0.5,0.5,1158.0,6383.0,0.070898484315246,6.5375302663438255,47.385039294650284,0.21885258715022668
0.5,0.6,1152.0,6407.0,0.06207738532606973,7.021791767554479,53.931325596481756,-0.1563232765358762
0.5,0.7,1153.0,6413.0,0.06099701768021934,6.941081517352703,54.733084643699165,-0.2501172424574019
0.5,0.8,1165.0,6488.0,0.059910665654270966,5.9725585149313964,55.5392848002963,-1.4225418164764734
0.5,0.9,1171.0,6575.0,0.05414213691658575,5.488297013720743,59.82020724585161,-2.782554322338596
0.5,1.0,1079.0,6019.0,0.06188573987859353,12.9136400322841,54.073548914592266,5.90901985305612
0.75,0.0,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
0.75,0.1,1196.0,6359.0,0.1098239103071841,3.4705407586763517,18.497824302884833,0.5940284508363295
0.75,0.2,1181.0,6362.0,0.09406233863956266,4.681194511702986,30.194752410107057,0.5471314678755667
0.75,0.3,1173.0,6345.0,0.09342220099219038,5.326876513317191,30.669809352266046,0.8128810379865562
0.75,0.4,1170.0,6362.0,0.08372307828590911,5.5690072639225185,37.867691859856066,0.5471314678755667
0.75,0.5,1161.0,6376.0,0.07646820548933214,6.295399515738499,43.251655294348325,0.32827888072534
0.75,0.6,1156.0,6401.0,0.0678754792441396,6.698950766747377,49.62846233203294,-0.06252931061435048
0.75,0.7,1161.0,6424.0,0.06985582659825976,6.295399515738499,48.15881316779024,-0.42207284664686573
0.75,0.8,1183.0,6462.0,0.08237398126226156,4.519774011299435,38.868879509669554,-1.0161012974831953
0.75,0.9,1199.0,6539.0,0.08188765113218309,3.228410008071025,39.229793299732115,-2.219790526809442
0.75,1.0,1120.0,6111.0,0.08197350943897318,9.6045197740113,39.166076402514655,4.470845708926059
1.0,0.0,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
1.0,0.1,1201.0,6365.0,0.11005193233894449,3.066989507667474,18.32860530819263,0.5002344849148038
1.0,0.2,1191.0,6359.0,0.1038605267550286,3.87409200968523,22.923351791913515,0.5940284508363295
1.0,0.3,1185.0,6359.0,0.0935464961329989,4.358353510895884,30.57756783239903,0.5940284508363295
1.0,0.4,1171.0,6346.0,0.08795255815623734,5.488297013720743,34.72892353031176,0.7972487103329686
1.0,0.5,1171.0,6383.0,0.08403280497556702,5.488297013720743,37.63783846082868,0.21885258715022668
1.0,0.6,1171.0,6396.0,0.08315523515736413,5.488297013720743,38.289097820558275,0.01563232765358762
1.0,0.7,1179.0,6414.0,0.0851759570270176,4.842615012106537,36.789486047540514,-0.26574957011098954
1.0,0.8,1203.0,6448.0,0.10048287445463878,2.9055690072639226,25.429964518232808,-0.7972487103329686
1.0,0.9,1202.0,6501.0,0.08924634455642083,2.9862792574656982,33.768782826822395,-1.6257620759731124
1.0,1.0,1144.0,6194.0,0.08888245378862247,7.6674737691686845,34.03883230155613,3.1733625136782866
2.0,0.0,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
2.0,0.1,1208.0,6360.0,0.11851800347316328,2.5020177562550443,12.045791164028621,0.5783961231827419
2.0,0.2,1199.0,6372.0,0.10620283488228144,3.228410008071025,21.185085434522183,0.39080819133969047
2.0,0.3,1198.0,6339.0,0.10739544092914917,3.3091202582728005,20.300032377338354,0.9066750039080819
2.0,0.4,1197.0,6349.0,0.10449808842748001,3.389830508474576,22.45020652417957,0.7503517273722057
2.0,0.5,1203.0,6366.0,0.11257601550216097,2.9055690072639226,16.455440631509806,0.4846021572612162
2.0,0.6,1216.0,6399.0,0.11079944393287948,1.8563357546408394,17.77386434974275,-0.03126465530717524
2.0,0.7,1224.0,6415.0,0.11624490569809427,1.2106537530266344,13.73269535203473,-0.28138189776457717
2.0,0.8,1229.0,6417.0,0.1227933770843115,0.8071025020177562,8.87296431555847,-0.3126465530717524
2.0,0.9,1234.0,6413.0,0.12474085828007286,0.4035512510088781,7.4277056816252,-0.2501172424574019
2.0,1.0,1215.0,6375.0,0.12297008760350372,1.937046004842615,8.74182445956127,0.34391120837892764
5.0,0.0,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
