penalty,share_willing,provider,hub,day,fleet_before,fleet_after
0.0,0.0,DPD,DPD Paketzentrum in Lehrte,2,118.0,118.0
0.0,0.0,DPD,DPD Paketzentrum in Lehrte,3,111.0,111.0
0.0,0.0,DPD,DPD Paketzentrum in Lehrte,4,90.0,90.0
0.0,0.0,DPD,DPD Paketzentrum in Lehrte,5,72.0,72.0
0.0,0.0,FedEx,FedEx Station - Heinz-Peter-Piper Str.,0,84.0,84.0
0.0,0.0,FedEx,FedEx Station - Heinz-Peter-Piper Str.,1,86.0,86.0
0.0,0.0,FedEx,FedEx Station - Heinz-Peter-Piper Str.,2,97.0,97.0
0.0,0.0,FedEx,FedEx Station - Heinz-Peter-Piper Str.,3,91.0,91.0
0.0,0.0,FedEx,FedEx Station - Heinz-Peter-Piper Str.,4,82.0,82.0
0.0,0.0,FedEx,FedEx Station - Heinz-Peter-Piper Str.,5,66.0,66.0
0.0,0.0,GLS,GLS in Hannover Laatzen,0,82.0,82.0
0.0,0.0,GLS,GLS in Hannover Laatzen,1,83.0,83.0
0.0,0.0,GLS,GLS in Hannover Laatzen,2,95.0,95.0
0.0,0.0,GLS,GLS in Hannover Laatzen,3,91.0,91.0
0.0,0.0,GLS,GLS in Hannover Laatzen,4,76.0,76.0
0.0,0.0,GLS,GLS in Hannover Laatzen,5,65.0,65.0
0.0,0.0,Hermes,Hermes LC Hannover Langenhagen,0,116.0,116.0
0.0,0.0,Hermes,Hermes LC Hannover Langenhagen,1,120.0,120.0
0.0,0.0,Hermes,Hermes LC Hannover Langenhagen,2,127.0,127.0
0.0,0.0,Hermes,Hermes LC Hannover Langenhagen,3,123.0,123.0
0.0,0.0,Hermes,Hermes LC Hannover Langenhagen,4,112.0,112.0
0.0,0.0,Hermes,Hermes LC Hannover Langenhagen,5,83.0,83.0
0.0,0.0,UPS,UPS Depot Hannover,0,100.0,100.0
0.0,0.0,UPS,UPS Depot Hannover,1,108.0,108.0
0.0,0.0,UPS,UPS Depot Hannover,2,118.0,118.0
0.0,0.0,UPS,UPS Depot Hannover,3,114.0,114.0
0.0,0.0,UPS,UPS Depot Hannover,4,95.0,95.0
0.0,0.0,UPS,UPS Depot Hannover,5,78.0,78.0
0.0,0.1,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),0,26.0,26.0
0.0,0.1,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),1,26.0,26.0
0.0,0.1,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),2,28.0,28.0
0.0,0.1,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),3,25.0,25.0
