penalty,share_willing,provider,plz,schedule_idx_system_smoothed,schedule_size_system_smoothed,weekdays_system_smoothed,avg_wait_d_system_smoothed,dd_cost_system_smoothed
0.0,0.0,DPD,31303,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5298.7418231419815
0.0,0.0,DPD,31311,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4503.622414154428
0.0,0.0,DPD,31319,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4393.641206526262
0.0,0.0,DPD,31515,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8672.940895409381
0.0,0.0,DPD,31535,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,10736.90548199021
0.0,0.0,DPD,31832,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6479.205569246742
0.0,0.0,FedEx,30159,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,12214.299279183924
0.0,0.0,FedEx,30161,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5224.187237195072
0.0,0.0,FedEx,30163,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8257.65060106912
0.0,0.0,FedEx,30167,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5175.669834329568
0.0,0.0,FedEx,30419,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3306.0595520416546
0.0,0.0,FedEx,30449,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5430.5021475969215
0.0,0.0,FedEx,30453,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3326.3835685835006
0.0,0.0,FedEx,30455,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,1959.2973539377524
0.0,0.0,FedEx,30457,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,1996.1328134447208
0.0,0.0,FedEx,30519,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4147.606607808722
0.0,0.0,FedEx,30539,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4110.789837016759
0.0,0.0,FedEx,30559,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5375.733073538704
0.0,0.0,FedEx,30625,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3602.946557564224
0.0,0.0,FedEx,30655,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3651.3066283117855
0.0,0.0,FedEx,30657,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4510.957538899967
0.0,0.0,FedEx,30823,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2013.2163655803624
0.0,0.0,FedEx,30827,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4491.66174623818
0.0,0.0,FedEx,30853,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4558.287686101956
0.0,0.0,FedEx,30855,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,11164.944696921486
0.0,0.0,FedEx,30880,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6033.650689518244
0.0,0.0,FedEx,30890,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3937.614024274669
0.0,0.0,FedEx,30900,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4467.0239843658765
0.0,0.0,FedEx,30916,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5459.16940205895
0.0,0.0,FedEx,30926,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3230.055804759229
0.0,0.0,FedEx,30938,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5737.710883078335
0.0,0.0,FedEx,30952,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2694.734755168253
0.0,0.0,FedEx,30966,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2504.271932146833
0.0,0.0,FedEx,30974,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2454.671117478426
0.0,0.0,FedEx,30982,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2716.2138956601093
