penalty,share_willing,provider,system_smooth_swaps,system_smoothed_cost_eur,cost_pre_smoothing,provider_spread_before,provider_spread_after
0.0,0.8,UPS,0,151559.78195499576,151559.78195499576,20.0,20.0
0.0,0.9,DHL,1,526350.8613108199,526000.8053618686,96.0,28.0
0.0,0.9,Amazon,0,296987.003777383,296987.003777383,15.0,15.0
0.0,0.9,DPD,0,151104.34325610072,151104.34325610072,14.0,14.0
0.0,0.9,FedEx,0,125305.65266266013,125305.65266266013,15.0,15.0
0.0,0.9,GLS,0,134168.82000331656,134168.82000331656,12.0,12.0
0.0,0.9,Hermes,0,175369.9005550463,175369.9005550463,11.0,11.0
0.0,0.9,UPS,0,150568.5560924374,150568.5560924374,19.0,19.0
0.0,1.0,DHL,2,503952.1933223025,503640.3669067282,218.0,62.0
0.0,1.0,Amazon,0,276996.5351200956,276996.5351200956,35.0,35.0
0.0,1.0,DPD,0,140353.95205791775,140353.95205791775,19.0,19.0
0.0,1.0,FedEx,0,120459.38909607036,120459.38909607036,15.0,15.0
0.0,1.0,GLS,0,124474.91955618736,124474.91955618736,17.0,17.0
0.0,1.0,Hermes,0,163441.33180218443,163441.33180218443,19.0,19.0
0.0,1.0,UPS,0,144781.25989525998,144781.25989525998,17.0,17.0
0.25,0.0,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.25,0.0,Amazon,0,350810.6383067652,350810.6383067652,79.0,79.0
0.25,0.0,DPD,0,210178.8252010488,210178.8252010488,46.0,46.0
0.25,0.0,FedEx,0,167748.72604045804,167748.72604045804,31.0,31.0
0.25,0.0,GLS,0,186914.04044994732,186914.04044994732,30.0,30.0
0.25,0.0,Hermes,0,232267.79568581068,232267.79568581068,44.0,44.0
0.25,0.0,UPS,0,198052.502895174,198052.502895174,40.0,40.0
0.25,0.1,DHL,7,560344.6785580761,556120.587150196,164.0,156.0
0.25,0.1,Amazon,0,331405.077382675,331405.077382675,76.0,76.0
0.25,0.1,DPD,0,184563.2087553729,184563.2087553729,24.0,24.0
0.25,0.1,FedEx,0,144315.1500438599,144315.1500438599,9.0,9.0
0.25,0.1,GLS,0,163753.3325246298,163753.3325246298,21.0,21.0
0.25,0.1,Hermes,0,208457.7007636066,208457.7007636066,41.0,41.0
0.25,0.1,UPS,0,174070.26234149665,174070.26234149665,12.0,12.0
0.25,0.2,DHL,6,559344.6419026102,556280.3234645245,149.0,131.0
